,09-Jul-19,,,,,,
The Nifty witnessed an intraday movement of about 121.55 points.The closing index was 0.02 % down as compared to the previous closing index.,,,,,,,
,,,,,,,
, Traded Value (Rs. In Crores),34591.7,,,,,
, Traded Quantity (in Lakhs),13314.8,,,,,
, Number of Trades,11724313,,,,,
, Total Market Capitalisation (Rs. Crores),14648561.64,,,,,
,,,,,,,
,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ARVINDFASN,EQ,676.3,18753300.25,28162,,
,ARVSMART,EQ,98.05,1619406.25,17012,,
,ASAHIINDIA,EQ,210.05,1836131.8,8742,,
,ASAHISONG,EQ,140.8,496555.15,3603,,
,ASAL,EQ,42.75,27585.9,645,,
,ASHAPURMIN,EQ,18.25,416188.35,23021,,
,ASHIANA,EQ,115.8,11296056,97557,,
,ASHIMASYN,EQ,9.4,286956.25,30332,,
,ASHOKA,EQ,134.8,19947765.05,148336,,
,ASIANHOTNR,EQ,125.9,70122.15,563,,
,ASIANTILES,EQ,220.85,44078736.95,196581,,
,ASPINWALL,EQ,143.55,271952.8,1919,,
,ASSAMCO,BE,1.45,141531.2,94409,,
,ASTEC,EQ,429.05,584014.2,1359,,
,ASTERDM,EQ,115.4,21003041.65,180308,,
,ASTRAL,EQ,1292.35,64076992.35,49363,,
,ASTRAMICRO,EQ,82.4,5218137.7,63071,,
,ASTRAZEN,EQ,1999.85,14313214.7,7170,,
,ASTRON,EQ,108.4,18945585.5,171790,,
,ATFL,EQ,499.25,647148.35,1304,,
,ATLANTA,EQ,9.15,292195.75,32145,,
,ATLASCYCLE,BE,35,286882.65,8344,,
,ATNINTER,BE,0.05,227.6,4552,,
,ATUL,EQ,3901.1,156451821.2,40119,,
,ATULAUTO,EQ,272.2,1674611.25,6160,,
,AUBANK,EQ,663.8,121540303.6,182166,,
,AURDIS,SM,28.4,114800,4000,,
,AURIONPRO,EQ,103.85,526205.35,5059,,
,AUSOMENT,EQ,34.25,47640.45,1378,,
,AUTOAXLES,EQ,1020.8,18302755.65,17999,,
,AUTOIND,EQ,50.25,384215.95,7586,,
,AUTOLITIND,BZ,26.5,17928.75,710,,
,AVADHSUGAR,EQ,303.3,9661404.15,31274,,
,AVANTIFEED,EQ,338.3,46560020.4,137745,,
,AVTNPL,EQ,24.2,380177.2,15766,,
,AXISCADES,EQ,62.4,8793964.1,137573,,
,AXISGOLD,EQ,2975.2,488568.65,163,,
,AXISNIFTY,EQ,1189.48,133813.32,113,,
,AYMSYNTEX,EQ,34.1,181117.4,5194,,
,BAFNAPHARM,BE,5.6,8524.5,1564,,
,BAGFILMS,EQ,3.35,134912.8,40137,,
,BAJAJCON,EQ,319.85,7428319.65,23145,,
,BAJAJELEC,EQ,481.65,69061341.05,140475,,
,BAJAJHIND,EQ,7.25,5717143.85,791097,,
,BALAJITELE,EQ,53.05,1839163.05,34574,,
,BALAMINES,EQ,349.85,3536371.5,10080,,
,BALAXI,BE,65.85,65981.7,1002,,
,BALKRISHNA,EQ,28.5,74955.9,2627,,
,BALKRISIND,EQ,726.6,287629826.7,398285,,
,BALLARPUR,EQ,1.65,1397212.45,872990,,
,BALMLAWRIE,EQ,180.05,4911943.55,27581,,
,BALPHARMA,EQ,52.05,263902.7,5071,,
,BALRAMCHIN,EQ,149.5,139347085.2,912051,,
,BANARBEADS,EQ,44,82640.4,1853,,
,BANARISUG,EQ,1416.85,165931.7,117,,
,BANCOINDIA,EQ,118.65,1326433.2,11219,,
,BANG,EQ,35.65,358755.65,10213,,
,BANKBEES,EQ,3123.34,11326431.77,3632,,
,BANKINDIA,EQ,85.6,943305317.3,11074406,,
,BANSAL,SM,4.7,4700,1000,,
,BANSWRAS,EQ,66.55,70021.6,1050,,
,BARTRONICS,EQ,3.5,26826.5,7640,,
,BASF,EQ,1239.65,10381110.9,8382,,
,BASML,EQ,143.35,55203.05,384,,
,BATAINDIA,EQ,1389.9,1184325113,856652,,
,BAYERCROP,EQ,3376.45,41036340.55,12215,,
,BBL,EQ,1012.2,5066524.25,4999,,
,BBTC,EQ,898.35,36130503.45,40015,,
,BCG,EQ,3.8,1011991.15,265624,,
,BDL,EQ,304,17835662.15,59053,,
,BEARDSELL,EQ,14.4,105951.55,7098,,
,BEDMUTHA,EQ,15.6,24693.7,1604,,
,BEL,EQ,107.35,2518069053,23959721,,
,BEML,EQ,877.35,777315836.7,889203,,
,BEPL,EQ,63.05,23268551.75,372572,,
