,25-Jul-2019
The Nifty witnessed an intraday movement of about 122.05 points.The closing index was 0.17 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 39367.79
, Traded Quantity (in Lakhs), 18040.42
, Number of Trades, 12953918
, Total Market Capitalisation (Rs. Crores), 14181368.07

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CENTURYTEX,EQ,       891.90,                394415961.15,441739
,CERA,EQ,      2548.35,                  8751303.05,3405
,CEREBRAINT,EQ,        22.95,                  3403190.90,148001
,CES1RPG,MF,         9.45,                    84090.00,9000
,CESC,EQ,       760.25,                122750117.40,161568
,CESCVENT,EQ,       394.85,                  3801731.40,9616
,CGCL,EQ,       157.45,                 64829877.80,409524
,CGPOWER,EQ,        20.50,                 31641214.20,1565341
,CHALET,EQ,       319.05,                   225393.55,718
,CHAMBLFERT,EQ,       154.35,                 32717072.50,208380
,CHEMFAB,EQ,       165.40,                   450308.25,2695
,CHENNPETRO,EQ,       194.70,                 13934691.00,71608
,CHOLAFIN,EQ,       249.05,                384423189.00,1550083
,CHOLAHLDNG,EQ,       482.45,                 12503817.00,25586
,CHROMATIC,EQ,          .60,                     1216.25,2025
,CIGNITITEC,EQ,       287.60,                  2093485.80,7177
,CIMMCO,EQ,        19.30,                   223974.55,11608
,CINELINE,EQ,        30.10,                   118815.75,3885
,CINEVISTA,EQ,         5.25,                     8817.50,1670
,CKFSL,EQ,         2.40,                    12808.80,5337
,CLEDUCATE,EQ,        95.25,                   130458.50,1369
,CLNINDIA,EQ,       291.90,                  3381454.40,11696
,CMICABLES,EQ,        65.75,                  4164911.30,61761
,CMMIPL,SM,         4.40,                    13200.00,3000
,CNOVAPETRO,EQ,        10.80,                    29346.20,2714
,COCHINSHIP,EQ,       358.15,                  8872754.05,24777
,COFFEEDAY,EQ,       194.85,                 18644248.10,95507
,COMPINFO,EQ,        11.80,                   107484.90,9047
,COMPUSOFT,EQ,         8.05,                    21142.80,2636
,CONFIPET,EQ,        29.90,                  2578332.75,86109
,CONSOFINVT,EQ,        37.50,                    48198.65,1304
,CONTROLPR,EQ,       203.15,                   687540.85,3377
,CORALFINAC,EQ,        13.00,                   235171.80,18304
,CORDSCABLE,EQ,        45.40,                   131745.95,2861
,COROMANDEL,EQ,       383.85,                 27547195.30,71589
,CORPBANK,EQ,        24.15,                  2876059.55,119808
,COSMOFILMS,EQ,       206.15,                  2380953.15,11688
,COUNCODOS,BE,         2.05,                    30928.40,15302
,COX&KINGS,EQ,        14.10,                   450114.30,31923
,CPSEETF,EQ,        24.88,               6464904052.79,258306276
,CREATIVEYE,EQ,         1.65,                      693.00,420
,CREDITACC,EQ,       534.95,                 56010209.60,104838
,CREST,EQ,        90.45,                    70768.35,779
,CRISIL,EQ,      1361.85,                  2747852.95,2012
,CROMPTON,EQ,       225.25,                177390170.20,783221
,CTE,EQ,        29.90,                    34381.05,1158
,CUB,EQ,       196.90,                 68078751.55,345224
,CUBEXTUB,EQ,        12.25,                      245.00,20
,CUMMINSIND,EQ,       750.70,                609147856.95,812365
,CUPID,EQ,       133.05,                 20335267.05,151508
,CYBERTECH,EQ,        45.30,                   733359.10,16055
,CYIENT,EQ,       486.95,                 98697483.00,202289
,DAAWAT,EQ,        19.65,                  4986208.40,252308
,DALBHARAT,EQ,       959.90,                 59734634.95,62165
