,25-Jun-2019
The Nifty witnessed an intraday movement of about 163.4 points.The closing index was 0.83 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29817.94
, Traded Quantity (in Lakhs), 15160.31
, Number of Trades, 10624011
, Total Market Capitalisation (Rs. Crores), 14919928.24

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,COMPINFO,EQ,        12.50,                   206460.35,16268
,COMPUSOFT,EQ,         9.45,                   361205.90,38849
,CONFIPET,EQ,        35.00,                  7516941.70,213650
,CONSOFINVT,EQ,        40.25,                    20552.60,520
,CONTROLPR,EQ,       234.65,                  1455755.25,6132
,CORALFINAC,EQ,        14.60,                    58237.85,4104
,CORDSCABLE,EQ,        57.15,                   198776.30,3478
,COROMANDEL,EQ,       416.50,                 73362341.25,178222
,CORPBANK,EQ,        22.70,                  3299200.40,144825
,COSMOFILMS,EQ,       217.55,                  1529825.75,7028
,COUNCODOS,BE,         2.55,                     1305.60,512
,COX&KINGS,EQ,        50.35,                308373166.90,6050448
,CPSEETF,EQ,        28.34,                115293097.56,4078901
,CREATIVE,SM,        67.85,                   649920.00,9600
,CREDITACC,EQ,       520.05,                 14312172.20,27216
,CREST,EQ,       106.80,                   147670.55,1380
,CRISIL,EQ,      1422.10,                 23991350.15,17072
,CROMPTON,EQ,       230.70,                324112555.55,1396286
,CTE,EQ,        32.70,                   199550.20,6085
,CUB,EQ,       214.25,                112992101.55,530463
,CUBEXTUB,EQ,        11.00,                     8732.00,792
,CUMMINSIND,EQ,       757.45,                413409250.40,544083
,CUPID,EQ,       118.50,                   885174.45,7510
,CYBERTECH,EQ,        41.60,                   219900.05,5380
,CYIENT,EQ,       549.70,                 21157469.10,38425
,DAAWAT,EQ,        22.15,                 23888462.55,1070549
,DALBHARAT,EQ,      1060.15,                 79668515.90,75274
,DALMIASUG,EQ,       102.90,                  5752460.90,55792
,DAMODARIND,EQ,        33.75,                   238598.55,7215
,DATAMATICS,EQ,        94.70,                  3229568.80,34158
,DBCORP,EQ,       195.15,                 52425787.90,268941
,DBL,EQ,       399.90,                 60754357.10,151939
,DBREALTY,EQ,        13.20,                  1404835.90,106025
,DBSTOCKBRO,BE,         9.95,                      139.30,14
,DCAL,EQ,       217.25,                  9925581.45,45505
,DCBBANK,EQ,       240.35,                670865846.25,2827138
,DCM,EQ,        32.25,                    99219.80,3035
,DCMSHRIRAM,EQ,       523.75,                 53163373.95,101269
