,28-May-2019
The Nifty witnessed an intraday movement of about 93.65 points.The closing index was 0.03 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 52932.19
, Traded Quantity (in Lakhs), 23331.35
, Number of Trades, 16809036
, Total Market Capitalisation (Rs. Crores), 15262828.66

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CIMMCO,EQ,        35.80,                   326177.05,9299
,CINELINE,EQ,        43.90,                   731323.85,16442
,CINEVISTA,BE,         6.25,                    25221.45,4015
,CKFSL,EQ,        14.40,                 11492716.40,812527
,CLEDUCATE,EQ,       118.00,                   298795.05,2528
,CLNINDIA,EQ,       311.80,                  7904857.00,25298
,CMICABLES,EQ,       131.20,                  3591552.55,26826
,CMMIPL,SM,         8.85,                    26550.00,3000
,CNOVAPETRO,EQ,        16.05,                    54628.65,3367
,COCHINSHIP,EQ,       376.00,                 91634823.20,242373
,COFFEEDAY,EQ,       245.80,                 23049770.80,93708
,COMPINFO,EQ,        14.45,                   984893.15,67718
,COMPUSOFT,EQ,         9.65,                   200768.50,20973
,CONSOFINVT,EQ,        44.40,                    51401.50,1163
,CONTROLPR,EQ,       253.30,                   862271.75,3381
,CORALFINAC,EQ,        15.45,                  1321125.60,85169
,CORDSCABLE,EQ,        64.30,                   764288.85,11950
,COROMANDEL,EQ,       434.85,                161432337.60,373983
,CORPBANK,EQ,        25.15,                  3558331.95,142029
,COSMOFILMS,EQ,       239.50,                  7500737.45,32103
,COUNCODOS,EQ,         3.95,                  2424104.90,626829
,COX&KINGS,EQ,        93.00,                 63080331.50,671722
,CPSEETF,EQ,        28.16,                 93960777.57,3342546
,CREATIVE,SM,       155.00,                  6747360.00,43200
,CREATIVEYE,EQ,         1.95,                    24343.80,12484
,CREDITACC,EQ,       547.50,                 17472742.20,31977
,CREST,EQ,       116.60,                   391928.30,3317
,CRISIL,EQ,      1455.00,                 44093937.20,30045
,CRMFGETF,EQ,      2960.00,                    11572.05,4
,CROMPTON,EQ,       236.60,                328603109.45,1383966
,CTE,EQ,        44.90,                  6566331.15,141475
,CUB,EQ,       216.50,                194898204.20,899152
,CUBEXTUB,EQ,        12.60,                     7298.80,574
,CUMMINSIND,EQ,       796.00,                517767520.25,652924
,CUPID,EQ,       141.90,                 19785057.55,138305
,CYBERTECH,EQ,        50.40,                  2779481.15,54701
,CYIENT,EQ,       565.40,                 48057621.00,84955
,DAAWAT,EQ,        31.55,                 96275490.60,3007135
,DALBHARAT,EQ,      1213.55,                677093555.15,561889
,DALMIASUG,EQ,       120.10,                 15671080.50,129420
