,14-May-2018
The Nifty witnessed an intraday movement of about 60.1 points.The closing index was 0 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 27402.41
, Traded Quantity (in Lakhs), 12983.17
, Number of Trades, 9331765
, Total Market Capitalisation (Rs. Crores), 14790982.64

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CRISIL,EQ,      1775.45,                 11433474.15,6426
,CRMFGETF,EQ,      2930.00,                   146480.00,50
,CROMPTON,EQ,       235.20,                427884237.40,1840543
,CROWN,SM,        75.80,                   151850.00,2000
,CTE,EQ,        59.15,                   218890.35,3677
,CUB,EQ,       186.70,                 34101821.40,181122
,CUBEXTUB,BE,        20.80,                    25449.10,1265
,CUPID,EQ,       269.80,                 24382701.30,89622
,CYBERMEDIA,EQ,        10.75,                     3362.50,310
,CYBERTECH,EQ,        57.30,                   700045.85,11938
,CYIENT,EQ,       826.10,                152011769.80,179730
,DAAWAT,EQ,        86.40,                 41595367.20,478920
,DALMIABHA,EQ,      2750.75,                146566981.45,53278
,DALMIASUG,EQ,        56.60,                  5113764.00,89549
,DAMODARIND,EQ,       113.00,                   607629.65,5382
,DATAMATICS,EQ,       121.55,                 12094652.25,98470
,DBCORP,EQ,       274.75,                 17129250.25,62312
,DBL,EQ,      1144.00,                131022577.00,114293
,DBREALTY,EQ,        56.25,                 28705475.75,503377
,DCAL,EQ,       338.25,                 23809108.50,70135
,DCBBANK,EQ,       189.45,                141263305.55,744160
,DCM,EQ,        90.50,                   229623.85,2531
,DCMFINSERV,BE,         2.60,                    20925.85,7911
,DCMSHRIRAM,EQ,       245.60,                 90400529.35,365880
,DCW,EQ,        30.05,                  6624380.40,218583
,DECCANCE,EQ,       486.25,                   362236.90,737
,DEEPAKFERT,EQ,       326.90,                 17575523.00,53118
,DEEPAKNTR,EQ,       253.95,                 59457352.25,231992
,DEEPIND,EQ,       148.55,                  4136111.15,27819
,DELTACORP,EQ,       222.30,                434337753.70,1897205
,DELTAMAGNT,EQ,        56.50,                    41602.45,718
,DEN,EQ,       100.05,                 15432000.95,153754
,DENABANK,EQ,        17.50,                 80068884.20,4674900
,DENORA,EQ,       444.75,                   155229.75,349
