,31-May-2018
The Nifty witnessed an intraday movement of about 143.4 points.The closing index was 1.15 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 59237.57
, Traded Quantity (in Lakhs), 25895.16
, Number of Trades, 15150626
, Total Market Capitalisation (Rs. Crores), 14693260.03

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CROMPTON,EQ,       226.75,                259166697.35,1148961
,CTE,EQ,        57.30,                   145885.80,2546
,CUB,EQ,       196.35,               1012080580.05,5159761
,CUBEXTUB,BE,        19.50,                    18087.50,925
,CUPID,EQ,       247.50,                  4805242.90,19243
,CURATECH,BE,         4.55,                     1830.00,400
,CYBERMEDIA,EQ,         9.50,                      142.50,15
,CYBERTECH,EQ,        55.60,                   318662.60,5666
,CYIENT,EQ,       736.80,                110337842.30,147550
,DAAWAT,EQ,        71.50,                 88247051.65,1209160
,DALMIABHA,EQ,      2726.40,                411849204.80,150351
,DALMIASUG,EQ,        66.65,                  6551170.00,97852
,DAMODARIND,EQ,       113.05,                   220204.20,1945
,DATAMATICS,EQ,       115.55,                 12123052.05,104155
,DBCORP,EQ,       259.60,                 42747388.60,162825
,DBL,EQ,       832.35,               8055069781.85,9744603
,DBREALTY,EQ,        49.25,                  9894399.05,198334
,DCAL,EQ,       308.80,                 23295237.15,74208
,DCBBANK,EQ,       185.20,                141250072.35,762404
,DCM,EQ,        93.45,                  1265884.25,13362
,DCMFINSERV,BE,         2.80,                       64.50,23
,DCMSHRIRAM,EQ,       283.55,                 79622953.80,283761
,DCW,EQ,        27.05,                  6889526.40,251631
,DECCANCE,EQ,       464.85,                  1151712.05,2467
,DEEPAKFERT,EQ,       324.05,                 71482995.60,216933
,DEEPAKNTR,EQ,       244.15,                 22688976.50,92470
,DEEPIND,EQ,       146.55,                  4240317.95,28663
,DELTACORP,EQ,       239.35,                474521249.65,1951823
,DEN,EQ,        93.30,                 56666338.05,595438
,DENABANK,EQ,        16.60,                  7572896.85,455457
,DENORA,EQ,       307.90,                  4106911.60,13171
,DFMFOODS,EQ,      1287.55,                  1315354.70,1019
,DHAMPURSUG,EQ,       103.35,                 72377080.25,692635
