,05-Sep-2018
The Nifty witnessed an intraday movement of about 148.8 points.The closing index was 0.38 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 37075.89
, Traded Quantity (in Lakhs), 16742.16
, Number of Trades, 12974313
, Total Market Capitalisation (Rs. Crores), 15334292.61

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BURNPUR,BE,         5.15,                   253649.55,49224
,BUTTERFLY,EQ,       299.80,                  3603671.45,12302
,BVCL,BE,        19.85,                    35726.20,1842
,BYKE,EQ,        96.20,                  2982389.15,30738
,CADSYS,SM,        58.85,                   117700.00,2000
,CALSOFT,BE,        47.05,                  3168488.15,67343
,CAMLINFINE,EQ,        66.75,                 59460768.25,886899
,CANBK,EQ,       267.90,               2133229616.05,7977333
,CANDC,EQ,        27.05,                  9397771.50,350318
,CANFINHOME,EQ,       311.75,                370627261.45,1192942
,CANTABIL,EQ,       154.60,                 20274941.05,130342
,CAPACITE,EQ,       255.55,                 19336510.55,75821
,CAPF,EQ,       605.75,                462619426.55,764894
,CAPLIPOINT,EQ,       497.35,                137044331.95,282714
,CAPTRUST,EQ,       370.45,                  1675385.20,4522
,CARBORUNIV,EQ,       369.85,                  9386410.45,25376
,CAREERP,EQ,        84.40,                  1879643.05,22104
,CARERATING,EQ,      1342.25,                315697871.40,233232
,CASTEXTECH,EQ,         1.45,                  2206561.40,1540365
,CASTROLIND,EQ,       154.35,                284433295.55,1851399
,CCCL,EQ,         2.55,                   251033.45,98054
,CCHHL,EQ,         9.20,                  1400585.15,151551
,CCL,EQ,       268.60,                 12674934.90,46771
,CDSL,EQ,       257.00,                 69195432.00,269007
,CEATLTD,EQ,      1341.75,                934217246.05,696603
,CEBBCO,EQ,        12.70,                   457510.55,36971
,CELEBRITY,EQ,        11.70,                   478476.30,41042
,CELESTIAL,EQ,        16.95,                  4700444.45,273248
,CENTENKA,EQ,       284.80,                  9852066.65,34708
,CENTEXT,EQ,         8.20,                  4746531.80,574136
,CENTRALBK,EQ,        67.85,                  6572967.00,97207
,CENTRUM,EQ,        49.05,                 10335932.40,208155
,CENTUM,EQ,       342.25,                 25084337.40,73301
,CENTURYPLY,EQ,       211.00,                 50954886.20,238018
,CENTURYTEX,EQ,       926.85,                610085112.30,658615
,CERA,EQ,      2667.40,                 13068251.55,4890
,CEREBRAINT,EQ,        41.40,                 34446805.40,831698
,CES1RPG,MF,         9.26,                     4630.00,500
,CESC,EQ,       990.65,                687024737.25,698687
,CGCL,EQ,       116.55,                 11207940.00,96096
,CGPOWER,EQ,        56.30,                285576919.30,5217622
,CHAMBLFERT,EQ,       161.00,                 52549489.75,326496
,CHEMFAB,EQ,       157.80,                   708921.35,4487
,CHENNPETRO,EQ,       294.35,                124593046.75,427736
,CHOLAFIN,EQ,      1442.50,                360977252.05,248766
,CHROMATIC,BE,         1.30,                    52597.00,40220
,CIGNITITEC,EQ,       399.45,                  4339361.90,10845
,CIMMCO,EQ,        64.15,                   606320.85,9439
,CINELINE,EQ,        50.85,                  1976610.90,38907
,CINEVISTA,BE,         7.00,                    27532.55,3916
,CLEDUCATE,EQ,       140.20,                   193339.25,1375
,CLNINDIA,EQ,       507.25,                  6750054.60,13354
,CMICABLES,EQ,       174.90,                 15036801.15,86292
,CMMIPL,SM,        25.20,                   228000.00,9000
,CNOVAPETRO,BE,        25.60,                    33359.90,1283
,COCHINSHIP,EQ,       420.10,                102622254.05,242299
,COFFEEDAY,EQ,       277.90,                 75326942.90,274656
,COMPINFO,EQ,        31.95,                   414350.05,12833
,COMPUSOFT,EQ,        12.00,                   344244.85,28567
,CONSOFINVT,EQ,        57.55,                    66741.05,1121
,CONTROLPR,EQ,       378.20,                   977726.50,2578
,CORALFINAC,EQ,        21.40,                  2291863.60,106670
,CORDSCABLE,EQ,        70.25,                  1365910.65,19313
,COROMANDEL,EQ,       400.85,                 61617642.25,152526
,CORPBANK,EQ,        27.10,                  4033242.45,149874
,COSMOFILMS,EQ,       250.95,                 10629305.80,42406
,COUNCODOS,EQ,         2.50,                   134913.65,55216
,COX&KINGS,EQ,       220.05,                 20777624.15,94705
,CPSEETF,EQ,        26.79,                 39157900.60,1477061
,CREATIVEYE,EQ,         2.85,                     5275.35,1851
,CREDITACC,EQ,       376.10,                 68987049.10,183808
,CREST,EQ,       195.25,                 77631158.25,398357
,CRISIL,EQ,      1768.80,                 10015848.85,5670
,CRMFGETF,EQ,      2826.00,                  2863730.00,1013
,CROMPTON,EQ,       221.95,                483760246.50,2170951
,CTE,EQ,        59.70,                   625668.30,10474
,CUB,EQ,       186.00,                191310150.15,1034902
,CUBEXTUB,EQ,        13.50,                    54660.45,4017
,CUPID,EQ,       213.60,                  3938356.95,18337
,CURATECH,BE,         3.50,                     6115.40,1747
,CYBERTECH,EQ,        45.65,                  6511853.25,146195
,CYIENT,EQ,       769.25,                803543360.25,1051507
,DAAWAT,EQ,        55.10,                 87149584.60,1593520
,DALMIABHA,EQ,      2557.40,                193097516.25,76695
,DALMIASUG,EQ,        60.60,                  1866801.50,31104
,DAMODARIND,EQ,       102.70,                   264417.10,2559
,DANGEE,ST,       102.95,                 14138640.00,137600
,DATAMATICS,EQ,       141.20,                 42455010.55,303970
,DBCORP,EQ,       228.95,                 15838385.55,68522
,DBL,EQ,       784.55,                133455476.90,168292
,DBREALTY,EQ,        25.30,                 29751691.35,1152262
,DBSTOCKBRO,EQ,         8.85,                      230.10,26
,DCAL,EQ,       292.65,                 62252229.35,214221
,DCBBANK,EQ,       168.55,                415241421.70,2488689
