,07-Sep-2018
The Nifty witnessed an intraday movement of about 118.6 points.The closing index was 0.45 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 36966.93
, Traded Quantity (in Lakhs), 14044.67
, Number of Trades, 12659002
, Total Market Capitalisation (Rs. Crores), 15511978.16

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BALKRISIND,EQ,      1170.70,               1849903514.95,1561687
,BALLARPUR,EQ,         9.15,                 23518681.45,2531418
,BALMLAWRIE,EQ,       212.40,                 14005067.50,66366
,BALPHARMA,EQ,        87.30,                  1875849.75,21546
,BALRAMCHIN,EQ,        77.65,                262868528.10,3388132
,BANARBEADS,EQ,        49.70,                    18317.60,370
,BANARISUG,EQ,      1493.65,                   182628.50,123
,BANCOINDIA,EQ,       226.25,                  8460685.80,37336
,BANDHANBNK,EQ,       658.65,                491522482.55,750500
,BANG,EQ,        45.55,                   711292.15,15632
,BANKBEES,EQ,      2793.42,                  4842712.86,1738
,BANKINDIA,EQ,        94.15,                537025064.80,5737097
,BANSAL,SM,       107.25,                  4406650.00,41000
,BANSWRAS,EQ,        79.15,                   213582.75,2692
,BARTRONICS,EQ,         8.95,                   183875.15,20582
,BASF,EQ,      1930.25,                  5702027.05,2940
,BASML,EQ,       206.00,                   127933.25,620
,BATAINDIA,EQ,      1056.25,                835897842.05,790700
,BAYERCROP,EQ,      4390.20,                 33659007.35,7690
,BBL,EQ,      1506.30,                135773468.00,89179
,BBTC,EQ,      1799.00,                339345507.50,187866
,BDL,EQ,       348.05,                 26794453.10,76249
,BEARDSELL,EQ,        34.80,                   235610.75,6717
,BEDMUTHA,EQ,        18.80,                    75651.05,3991
,BEML,EQ,       776.25,                437375155.00,563392
,BEPL,EQ,       126.35,                 30474854.80,242004
,BERGEPAINT,EQ,       316.05,                177345766.10,566026
,BETA,SM,        96.95,                   840600.00,8800
,BFINVEST,EQ,       322.45,                 95481331.30,298646
,BFUTILITIE,EQ,       315.95,                102137441.75,321944
,BGLOBAL,BE,         2.75,                    40762.90,14799
,BGRENERGY,EQ,        76.80,                  3719757.15,48360
,BHAGERIA,EQ,       293.30,                  1889672.30,6445
