,18-Sep-2018
The Nifty witnessed an intraday movement of about 142.5 points.The closing index was 0.87 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 32077.64
, Traded Quantity (in Lakhs), 17220.05
, Number of Trades, 11617457
, Total Market Capitalisation (Rs. Crores), 15122623.93

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CREDITACC,EQ,       357.45,                 22953543.55,64000
,CREST,EQ,       200.00,                100623570.20,486956
,CRISIL,EQ,      1742.50,                 10396402.50,5953
,CROMPTON,EQ,       228.10,                219264455.65,976275
,CTE,EQ,        54.05,                   115464.70,2121
,CUB,EQ,       179.85,                123723494.80,686421
,CUBEXTUB,EQ,        13.80,                    17137.85,1257
,CUPID,EQ,       216.45,                  2497152.05,11371
,CURATECH,BE,         3.65,                      386.90,106
,CYBERMEDIA,EQ,         9.40,                       47.00,5
,CYBERTECH,EQ,        44.80,                   811955.00,17862
,CYIENT,EQ,       702.80,                393237384.90,552409
,DAAWAT,EQ,        46.70,                 41171722.25,866653
,DALMIABHA,EQ,      2573.10,                158933376.70,61256
,DALMIASUG,EQ,        87.25,                148363496.15,1615480
,DAMODARIND,EQ,       102.00,                   110883.60,1083
,DANGEE,SM,       162.50,                 26317040.00,171200
,DATAMATICS,EQ,       138.00,                 13125074.45,93692
,DBCORP,EQ,       216.55,                  7585104.70,34860
,DBL,EQ,       748.20,                 67664539.20,90236
,DBREALTY,EQ,        25.75,                 12485626.95,474330
,DCAL,EQ,       277.10,                 25304058.60,90519
,DCBBANK,EQ,       165.50,                135340274.70,814021
,DCM,EQ,        86.05,                  2246240.40,25893
,DCMFINSERV,EQ,         1.95,                     5441.40,2852
,DCMSHRIRAM,EQ,       423.10,                559532550.85,1319642
