,04-Sep-2018
The Nifty witnessed an intraday movement of about 105.7 points.The closing index was 0.54 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 35796.63
, Traded Quantity (in Lakhs), 15332.72
, Number of Trades, 11729869
, Total Market Capitalisation (Rs. Crores), 15406748.14

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CORDSCABLE,EQ,        71.50,                  1348478.00,18713
,COROMANDEL,EQ,       407.80,                 40105932.75,97119
,CORPBANK,EQ,        27.30,                  6163963.25,223815
,COSMOFILMS,EQ,       246.05,                  6747381.15,27149
,COUNCODOS,EQ,         2.30,                    86552.20,38167
,COX&KINGS,EQ,       224.30,                 13527343.85,60047
,CPSEETF,EQ,        27.00,                 38748695.42,1419991
,CREATIVE,SM,       110.35,                   176560.00,1600
,CREATIVEYE,EQ,         2.85,                      285.00,100
,CREDITACC,EQ,       380.30,                 61722816.90,162888
,CREST,EQ,       171.05,                  6501528.65,38552
,CRISIL,EQ,      1761.80,                 11043453.20,6240
,CRMFGETF,EQ,      2905.00,                    58070.00,20
,CROMPTON,EQ,       233.80,                115080670.90,480918
,CTE,EQ,        57.40,                   340199.40,5972
,CUB,EQ,       188.00,                 94189405.45,494571
,CUBEXTUB,EQ,        13.80,                    69368.50,4944
,CUPID,EQ,       218.50,                  4292512.35,19527
,CURATECH,BE,         3.65,                      131.40,36
,CYBERTECH,EQ,        41.00,                  1919640.35,45252
,CYIENT,EQ,       728.80,                316651320.55,424447
,DAAWAT,EQ,        54.15,                 38565018.25,703519
,DALMIABHA,EQ,      2526.70,                240913507.15,95106
,DALMIASUG,EQ,        59.75,                  3189557.95,52642
,DAMODARIND,EQ,       103.50,                    85591.65,824
,DANGEE,ST,        98.05,                 46461200.00,481600
