,26-Dec-2018
The Nifty witnessed an intraday movement of about 212.95 points.The closing index was 0.62 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 27416.78
, Traded Quantity (in Lakhs), 12479.23
, Number of Trades, 9494120
, Total Market Capitalisation (Rs. Crores), 14070330.62

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CEBBCO,BE,        27.50,                  4143712.50,156968
,CELEBRITY,EQ,         9.65,                   293097.60,30897
,CELESTIAL,EQ,         8.55,                   218897.25,25682
,CENTENKA,EQ,       264.25,                  4588590.40,17431
,CENTEXT,EQ,         8.70,                  6203446.25,730306
,CENTRALBK,EQ,        34.10,                 18830304.00,555727
,CENTRUM,EQ,        36.05,                  2360781.80,65696
,CENTUM,EQ,       336.25,                   551952.60,1640
,CENTURYPLY,EQ,       171.70,                 28541139.05,165729
,CENTURYTEX,EQ,       896.60,                655105140.15,734872
,CERA,EQ,      2376.75,                  6464591.95,2715
,CEREBRAINT,EQ,        27.35,                  4184120.85,152352
,CES1RPG,MF,         9.11,                      911.00,100
,CESC,EQ,       667.15,                430755029.30,651682
,CGCL,EQ,       129.90,                 50212669.40,392766
,CGPOWER,EQ,        44.10,                445248163.95,10242729
,CHAMBLFERT,EQ,       140.85,                 39899964.05,283219
,CHEMFAB,EQ,       151.00,                  2632042.70,17150
,CHENNPETRO,EQ,       280.70,                409122186.90,1456982
,CHOLAFIN,EQ,      1222.80,                845366492.65,709282
,CHROMATIC,EQ,          .95,                    62051.60,64561
,CIGNITITEC,EQ,       357.15,                 12951313.75,36437
,CIMMCO,EQ,        42.70,                   673266.70,15914
,CINELINE,EQ,        50.10,                  1573569.15,31720
,CINEVISTA,EQ,         6.75,                    67277.85,9930
,CKPLEISURE,SM,         5.90,                    23600.00,4000
,CLEDUCATE,EQ,       119.25,                   154571.90,1289
,CLNINDIA,EQ,       416.60,                  6252029.45,15115
,CMICABLES,EQ,       143.15,                 11245755.50,77570
,CNOVAPETRO,EQ,        22.00,                     5991.50,282
,COCHINSHIP,EQ,       377.30,                  9924457.95,26294
,COFFEEDAY,EQ,       271.45,                 22041053.80,82074
,COMPINFO,EQ,        22.50,                   122948.30,5474
,COMPUSOFT,EQ,        10.90,                   179956.50,16577
,CONSOFINVT,EQ,        48.30,                   142880.00,2960
,CONTROLPR,EQ,       303.75,                   292483.45,970
,CORALFINAC,EQ,        14.85,                   274245.30,18449
,CORDSCABLE,EQ,        63.00,                  1802314.90,28947
,COROMANDEL,EQ,       445.45,                 62619181.00,140745
,CORPBANK,EQ,        28.40,                 10558389.45,376953
,COSMOFILMS,EQ,       217.40,                  1928700.60,8944
,COUNCODOS,EQ,         2.40,                    86031.30,36836
,COX&KINGS,EQ,       159.55,                 10154690.70,63674
,CPSEETF,EQ,        24.05,                160447363.84,6693751
,CREATIVE,SM,       100.00,                   160000.00,1600
,CREDITACC,EQ,       365.55,                 10720258.35,29680
,CREST,EQ,       140.30,                   920749.05,6637
,CRISIL,EQ,      1619.10,                  6264659.50,3954
,CRMFGETF,EQ,      2850.00,                    39795.05,14
,CROMPTON,EQ,       227.20,                114790773.20,505954
,CTE,EQ,        41.50,                   562603.80,14023
,CUB,EQ,       185.00,                114093740.45,618983
,CUBEXTUB,BE,        15.30,                    16857.40,1107
,CUMMINSIND,EQ,       802.70,                469164203.85,594851
,CUPID,EQ,       154.35,                 35577131.75,236821
,CURATECH,BE,         1.45,                        1.45,1
,CYBERMEDIA,EQ,         8.85,                     6365.10,721
,CYBERTECH,EQ,        41.00,                    60531.50,1474
,CYIENT,EQ,       601.70,                 29196297.30,48313
,DAAWAT,EQ,        41.50,                 13800187.35,333385
,DALMIASUG,EQ,        92.10,                  8115387.05,88224
,DAMODARIND,EQ,        44.95,                    36726.80,831
,DATAMATICS,EQ,       104.80,                  7150971.70,68029
,DBCORP,EQ,       170.05,                  4958010.65,29306
,DBL,EQ,       420.40,                 46841811.70,111842
,DBREALTY,EQ,        25.80,                 12885819.75,499873
,DCAL,EQ,       228.65,                 50736071.85,221944
,DCBBANK,EQ,       162.75,                287134037.40,1787696
,DCM,EQ,        71.10,                   647968.05,9083
,DCMSHRIRAM,EQ,       347.65,                 18413750.90,53919
,DCW,EQ,        18.20,                  1915028.25,106110
,DECCANCE,EQ,       406.45,                   351706.80,864
,DEEPAKFERT,EQ,       145.05,                 17140839.60,118710
,DEEPAKNTR,EQ,       208.05,                 49795360.90,239585
,DEEPIND,EQ,       127.75,                  1434008.55,11417
,DELTACORP,EQ,       242.75,                181863231.95,751123
,DELTAMAGNT,BE,        80.75,                    57813.40,684
