,24-Jul-2018
The Nifty witnessed an intraday movement of about 50.9 points.The closing index was 0.45 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 34563.31
, Traded Quantity (in Lakhs), 18103.16
, Number of Trades, 12537359
, Total Market Capitalisation (Rs. Crores), 14798442.79

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BIOFILCHEM,BE,        11.90,                     8064.90,696
,BIRLACABLE,EQ,        88.30,                  5223275.90,59527
,BIRLACORPN,EQ,       739.95,                229908738.85,309434
,BIRLAMONEY,EQ,        57.25,                  7844619.50,138007
,BKMINDST,EQ,        16.90,                   256809.75,14564
,BLBLIMITED,EQ,         7.20,                    28731.25,4000
,BLISSGVS,EQ,       169.15,                  9990834.95,59308
,BLKASHYAP,EQ,        31.50,                 11821405.60,371981
,BLS,EQ,       173.95,                 11602698.30,66747
,BLUEBLENDS,EQ,         8.20,                    15874.45,1953
,BLUEDART,EQ,      3695.40,                  9202099.95,2510
,BLUEDART,N2,        10.32,                    23590.50,2281
,BLUEDART,N3,        10.14,                     9396.42,923
,BLUESTARCO,EQ,       672.50,                 21941466.45,32608
,BODALCHEM,EQ,       121.80,                 44426434.80,369050
,BOMDYEING,BE,       224.30,                 72926752.00,326660
,BOROSIL,EQ,      1168.75,                100521494.30,86274
,BPL,EQ,        57.60,                 44392407.20,832265
,BRFL,BE,        19.95,                   838571.35,42529
,BRIGADE,EQ,       184.85,                  5722646.15,30729
,BRIGHT,SM,        49.95,                 19535400.00,408000
,BRNL,EQ,       167.60,                   457324.80,2755
,BROOKS,EQ,        77.25,                  3711260.00,48201
,BSE,EQ,       834.70,                 53887761.35,64744
,BSELINFRA,EQ,         2.90,                   198486.85,68198
,BSHSL,SM,       125.00,                   756000.00,6000
,BSL,EQ,        44.00,                   427903.45,10180
,BSLGOLDETF,EQ,      2781.00,                   117951.90,42
,BSLNIFTY,EQ,       112.00,                    43411.50,388
,BURNPUR,EQ,         4.45,                   783479.25,179836
,BUTTERFLY,BE,       313.65,                  2739444.45,8672
,BVCL,BE,        16.45,                    79069.95,4816
,BYKE,EQ,       123.50,                  7622028.60,61226
,CADSYS,SM,        61.95,                   247800.00,4000
,CALSOFT,BE,        25.90,                   535031.00,20901
,CAMLINFINE,EQ,        88.10,                 62649310.50,710820
,CANBK,EQ,       252.80,               1558898448.30,6247679
,CANDC,EQ,        30.55,                  2569906.35,89581
,CANFINHOME,EQ,       345.30,                274318574.30,801325
,CANTABIL,EQ,       115.60,                  1354165.05,11683
,CAPACITE,EQ,       265.15,                 23403473.15,89795
,CAPF,EQ,       520.50,                363251890.85,705463
,CAPLIPOINT,EQ,       419.10,                 22611945.70,54367
,CAPTRUST,EQ,       414.45,                  1269456.55,3029
,CARBORUNIV,EQ,       345.90,                 26899540.35,78640
,CAREERP,EQ,        87.80,                   718167.40,8244
,CARERATING,EQ,      1220.90,                 21498524.40,17615
,CASTEXTECH,EQ,         1.70,                  1477224.05,903100
,CASTROLIND,EQ,       165.85,                180479309.40,1084822
,CCCL,EQ,         3.10,                   166223.15,53318
,CCHHL,EQ,         8.35,                   350842.55,41983
,CCL,EQ,       275.90,                 33534040.05,121627
,CDSL,EQ,       264.80,                 65690153.15,247824
,CEATLTD,EQ,      1336.55,               1423048395.05,1059581
,CEBBCO,EQ,        13.75,                   939683.75,69240
,CELEBRITY,EQ,        11.60,                   390685.75,33440
,CELESTIAL,EQ,        12.25,                   474133.85,38767
,CENTENKA,EQ,       252.95,                 20904361.45,83603
,CENTEXT,EQ,         5.95,                   958671.95,160360
,CENTRALBK,EQ,        69.30,                 11946307.40,172547
,CENTRUM,EQ,        53.90,                  4214548.85,78321
,CENTUM,EQ,       398.05,                   379614.25,955
,CENTURYPLY,EQ,       250.20,                497363225.95,1968162
,CENTURYTEX,EQ,       913.30,               1007925510.55,1099714
,CERA,EQ,      2650.15,                 20197206.15,7572
,CEREBRAINT,EQ,        65.00,                 32702615.90,502763
,CES1RPG,MF,         9.40,                    47725.80,5157
,CESC,EQ,       922.40,                796823278.45,871377
,CGCL,EQ,        74.95,                  4074805.80,54282
,CGPOWER,EQ,        63.70,                759937293.40,12163670
,CHAMBLFERT,EQ,       146.00,                186573056.00,1264941
,CHEMFAB,EQ,       181.90,                   931435.60,5226
,CHENNPETRO,EQ,       284.15,                116229478.85,411279
,CHOLAFIN,EQ,      1509.50,                391096599.20,255365
,CHROMATIC,EQ,         1.00,                   236235.30,228336
,CIGNITITEC,EQ,       432.30,                 22972226.65,52945
,CIMMCO,EQ,        67.65,                 14341916.65,203598
