,19-Jul-2018
The Nifty witnessed an intraday movement of about 71.05 points.The closing index was 0.21 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 27888.39
, Traded Quantity (in Lakhs), 13560.73
, Number of Trades, 10517502
, Total Market Capitalisation (Rs. Crores), 14422039.46

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BINDALAGRO,EQ,        17.80,                  1237590.35,68249
,BIOCON,EQ,       572.10,                897249267.50,1557450
,BIOFILCHEM,BE,        12.55,                      150.35,12
,BIRLACABLE,BE,        80.80,                   790858.35,9701
,BIRLACORPN,EQ,       692.55,                 55090118.50,79785
,BIRLAMONEY,BE,        51.50,                  1725805.90,33194
,BKMINDST,EQ,        20.00,                   401675.85,19431
,BLBLIMITED,BE,         6.95,                      389.75,55
,BLISSGVS,EQ,       165.45,                 20281393.15,122492
,BLKASHYAP,EQ,        29.75,                  8737301.10,290017
,BLS,EQ,       170.95,                 13318566.40,78585
,BLUEBLENDS,EQ,         8.30,                    60509.95,7287
,BLUECOAST,EQ,        74.15,                       74.15,1
,BLUEDART,EQ,      3573.65,                  3135713.05,881
,BLUEDART,N3,        10.05,                   100500.00,10000
,BLUEDART,N2,         9.50,                    95000.00,10000
,BLUESTARCO,EQ,       660.35,                 23958040.55,36215
,BODALCHEM,EQ,       116.45,                 24831534.95,212467
,BOHRA,SM,        28.10,                   110000.00,4000
,BOMDYEING,BE,       216.60,                 90903739.65,418724
,BOROSIL,EQ,      1089.10,                 32043823.80,29252
,BPL,EQ,        46.00,                  5028103.55,107904
,BRFL,BE,        19.50,                   480310.25,24579
,BRIGADE,EQ,       182.65,                 42415129.00,229279
,BRIGHT,ST,        38.95,                  1968900.00,51000
,BRNL,EQ,       166.20,                   364500.20,2195
,BROOKS,EQ,        75.95,                  4523566.10,59300
,BSE,EQ,       823.45,                 78452453.65,95233
,BSELINFRA,EQ,         2.85,                   172967.65,62735
,BSHSL,SM,       127.00,                  1255700.00,10000
,BSL,EQ,        40.60,                   550465.00,13303
,BSLGOLDETF,EQ,      2854.00,                    43506.05,15
,BURNPUR,BE,         4.15,                   613166.40,145818
,BUTTERFLY,BE,       308.95,                  3038641.95,10008
,BVCL,BE,        17.10,                    36474.30,2133
,BYKE,EQ,       121.10,                  4108585.05,33867
,CALSOFT,BE,        25.60,                   622568.60,23973
,CAMLINFINE,EQ,        83.10,                 16733578.70,200444
,CANBK,EQ,       232.65,               1880412549.45,8065318
,CANDC,EQ,        32.20,                   466131.85,14434
,CANFINHOME,EQ,       328.05,                114080631.70,345136
,CANTABIL,BE,       114.20,                   745928.50,6489
,CAPACITE,EQ,       262.10,                 23923716.35,92457
,CAPF,EQ,       487.45,                149248776.25,305093
,CAPLIPOINT,EQ,       386.70,                 10130591.10,26702
,CAPTRUST,EQ,       390.65,                   849830.70,2171
