,03-Jul-2018
The Nifty witnessed an intraday movement of about 83.05 points.The closing index was 0.4 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 24545.32
, Traded Quantity (in Lakhs), 11565.3
, Number of Trades, 9553684
, Total Market Capitalisation (Rs. Crores), 14317945.13

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,DEEPAKNTR,EQ,       242.90,                 20812936.90,86167
,DEEPIND,EQ,        85.60,                 15408215.20,184194
,DELTACORP,EQ,       223.25,                607485568.10,2748446
,DELTAMAGNT,EQ,        58.50,                     6447.00,110
,DEN,EQ,        77.45,                 28176618.95,380990
,DENABANK,EQ,        15.05,                 11123860.10,737448
,DENORA,EQ,       269.75,                  2022616.10,7436
,DEVIT,SM,        74.25,                   222375.00,3000
,DFMFOODS,EQ,      1219.25,                   948276.65,780
,DHAMPURSUG,EQ,        81.00,                 10204669.10,126312
,DHANBANK,EQ,        17.60,                  3136313.30,176623
,DHANUKA,EQ,       559.25,                  5314872.45,9560
