,06-Jul-2018
The Nifty witnessed an intraday movement of about 81.3 points.The closing index was 0.21 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28712.09
, Traded Quantity (in Lakhs), 12435.38
, Number of Trades, 10248840
, Total Market Capitalisation (Rs. Crores), 14403906.25

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BLUEDART,EQ,      3621.45,                  8183450.55,2258
,BLUESTARCO,EQ,       650.50,                  6780508.30,10430
,BODALCHEM,EQ,       124.95,                 22354693.40,177307
,BOMDYEING,BE,       209.95,                 92802830.95,453678
,BOROSIL,EQ,       970.70,                 24154408.10,25014
,BPL,EQ,        50.95,                 13777035.55,267926
,BRFL,BE,        22.95,                  1051552.25,45667
,BRIGADE,EQ,       204.25,                  5232027.85,25351
,BRNL,EQ,       169.70,                   600405.35,3556
,BROOKS,EQ,        81.95,                  3078478.15,37468
,BSE,EQ,       872.00,                108116719.50,124124
,BSELINFRA,EQ,         3.05,                   172189.80,56090
,BSHSL,SM,       135.00,                   810100.00,6000
,BSL,EQ,        48.45,                   416853.25,8674
,BSLGOLDETF,EQ,      2845.00,                    25601.15,9
,BSLNIFTY,EQ,       110.99,                     1635.09,15
,BURNPUR,BE,         4.75,                   190301.35,39444
,BUTTERFLY,BE,       314.85,                  1845981.85,5999
,BVCL,BE,        18.45,                     9598.80,512
,BYKE,EQ,       147.85,                  6450717.70,43333
,CADSYS,SM,        66.00,                   404300.00,6000
,CALSOFT,BE,        27.85,                   821464.10,30080
,CAMLINFINE,EQ,        84.10,                 31663285.50,374777
,CANBK,EQ,       247.65,               1484084418.70,6004299
,CANDC,EQ,        38.45,                  3705671.15,95524
,CANFINHOME,EQ,       339.90,                189247576.95,558300
,CANTABIL,BE,       112.80,                   159431.80,1417
,CAPACITE,EQ,       273.45,                 17711275.30,64162
,CAPF,EQ,       512.40,                248030391.60,486362
,CAPLIPOINT,EQ,       400.75,                  6256791.65,15577
,CAPTRUST,EQ,       393.30,                  6090811.85,15345
,CARBORUNIV,EQ,       323.60,                  6051526.60,18752
,CAREERP,EQ,        91.00,                   256771.55,2820
,CARERATING,EQ,      1250.50,                 34498339.10,27729
,CASTEXTECH,BE,         2.15,                   412041.65,190591
,CASTROLIND,EQ,       162.45,                227520228.05,1407991
,CCCL,EQ,         3.25,                   144786.30,44338
,CCHHL,EQ,         8.70,                   261408.45,30615
,CCL,EQ,       265.85,                  7472366.20,28100
,CDSL,EQ,       267.15,                 79969320.70,298391
,CEATLTD,EQ,      1301.10,               1238762053.35,954250
,CEBBCO,EQ,        13.55,                   297239.25,22280
,CELEBRITY,EQ,        12.05,                   190828.50,15807
,CELESTIAL,EQ,        13.80,                   442916.65,32281
,CENTENKA,EQ,       229.90,                 34832229.70,149996
,CENTEXT,EQ,         6.10,                   548993.00,89135
,CENTRALBK,EQ,        67.65,                 10818983.55,159637
,CENTRUM,EQ,        53.00,                 11473118.75,217429
,CENTUM,EQ,       409.60,                   278211.35,679
,CENTURYPLY,EQ,       242.20,                 18707760.55,76831
,CENTURYTEX,EQ,       918.85,               1779986783.45,1957649
,CERA,EQ,      2714.05,                 28404388.45,10500
,CEREBRAINT,BE,        55.40,                 33633747.65,604034
,CES1RPG,MF,         8.97,                    81228.60,9130
,CESC,EQ,       912.35,                334739574.80,366623
,CGCL,EQ,        79.05,                  1146150.45,14520
,CGPOWER,EQ,        60.05,                803834277.60,13455416
,CHAMBLFERT,EQ,       150.20,                 73472086.35,485701
,CHEMFAB,BE,       175.10,                 10174912.20,58106
,CHENNPETRO,EQ,       291.10,                153217770.30,518549
,CHOLAFIN,EQ,      1485.55,                342387231.50,230850
,CHROMATIC,EQ,         1.30,                   101028.30,75689
,CIGNITITEC,EQ,       340.95,                  4952285.40,14450
,CIMMCO,EQ,        65.55,                   279735.55,4287
