,04-Jul-2018
The Nifty witnessed an intraday movement of about 99.4 points.The closing index was 0.65 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 25099.64
, Traded Quantity (in Lakhs), 10985.44
, Number of Trades, 9092612
, Total Market Capitalisation (Rs. Crores), 14370714.3

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CHEMFAB,BE,       176.00,                   304500.50,1741
,CHENNPETRO,EQ,       299.35,                101252950.90,339182
,CHOLAFIN,EQ,      1501.95,                282337549.15,188292
,CHROMATIC,EQ,         1.30,                    74096.55,57148
,CIGNITITEC,EQ,       346.50,                  3597233.75,10404
,CIMMCO,EQ,        65.30,                   513300.80,7878
,CINELINE,EQ,        58.60,                  1984523.80,33865
,CINEVISTA,EQ,         6.35,                    47840.55,7510
,CLEDUCATE,EQ,       141.25,                   354509.45,2490
,CLNINDIA,EQ,       400.60,                  1488558.15,3715
,CMICABLES,EQ,       229.05,                  1623126.00,7078
,CNOVAPETRO,EQ,        25.75,                    11767.70,452
,COCHINSHIP,EQ,       432.75,                 18940606.50,43607
,COFFEEDAY,EQ,       259.45,                246219398.45,923879
,COMPINFO,EQ,        32.95,                  3923010.50,124116
,COMPUSOFT,EQ,        11.50,                   252400.65,21834
,CONSOFINVT,EQ,        53.95,                    36616.75,676
,CONTROLPR,EQ,       390.90,                   685824.15,1754
,CORALFINAC,EQ,        22.00,                   253616.45,11496
,CORDSCABLE,EQ,        61.60,                  1652271.15,27329
,COROMANDEL,EQ,       434.50,                 62022276.50,143372
,CORPBANK,EQ,        25.10,                  5498530.80,220745
,COSMOFILMS,EQ,       227.55,                  1384505.75,6086
,COUNCODOS,EQ,         2.35,                      255.35,109
,COX&KINGS,EQ,       208.50,                 15726544.80,75721
,CPSEETF,EQ,        25.52,                  5423737.62,212872
,CREATIVEYE,EQ,         3.15,                     3150.00,1000
,CREST,EQ,       173.10,                   453529.60,2612
,CRISIL,EQ,      1782.10,                  4909391.55,2770
,CRMFGETF,EQ,      2875.00,                     5750.00,2
,CROMPTON,EQ,       226.60,                103110075.20,455082
,CTE,EQ,        52.75,                    80790.85,1545
,CUB,EQ,       187.85,                 26120426.75,139526
,CUBEXTUB,BE,        14.50,                    17582.30,1249
,CUPID,EQ,       235.60,                  1883237.60,7964
,CYBERTECH,EQ,        49.65,                  5174492.00,101154
,CYIENT,EQ,       733.30,                112024879.75,151889
,DAAWAT,EQ,        61.25,                144275916.35,2378510
,DALMIABHA,EQ,      2250.95,                 87276770.65,39231
,DALMIASUG,EQ,        52.15,                  1209841.60,23079
,DAMODARIND,EQ,       107.05,                    74380.55,684
,DATAMATICS,EQ,       101.55,                  4968899.10,48572
,DBCORP,EQ,       263.45,                  9728067.45,37004
,DBL,EQ,       689.55,                367640959.50,558442
,DBREALTY,EQ,        37.30,                 14080106.80,373191
,DCAL,EQ,       265.05,                 23090482.45,87541
