,26-Mar-2018
The Nifty witnessed an intraday movement of about 184.95 points.The closing index was 1.33 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 31018.64
, Traded Quantity (in Lakhs), 17008.57
, Number of Trades, 10558288
, Total Market Capitalisation (Rs. Crores), 13936458.65

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CLNINDIA,EQ,       525.15,                  8900690.85,16917
,CMICABLES,EQ,       209.85,                 18258599.45,87137
,CMMIPL,SM,        58.30,                  1779000.00,30000
,CNOVAPETRO,EQ,        29.35,                   797036.25,27433
,COCHINSHIP,EQ,       483.40,                 89907056.40,186076
,COFFEEDAY,EQ,       304.55,                 38383478.60,127433
,COMPINFO,EQ,        36.60,                 12479619.10,350900
,COMPUSOFT,EQ,        11.05,                   813818.20,73953
,CONSOFINVT,EQ,        64.60,                  3081326.90,47257
,CONTROLPR,EQ,       429.60,                  5386400.30,12535
,CORALFINAC,EQ,        33.35,                  7308548.10,217301
,CORDSCABLE,EQ,        78.40,                  4064648.40,53908
,COROMANDEL,EQ,       518.05,                186687483.00,360843
,CORPBANK,EQ,        30.45,                 22972152.45,768213
,COSMOFILMS,EQ,       242.70,                 22095692.05,91412
,COUNCODOS,EQ,         2.95,                   102099.20,34536
,COX&KINGS,EQ,       232.25,                 18922033.70,81392
,CPSEETF,EQ,        27.50,                 17544277.71,643259
,CREST,EQ,       183.05,                  4339722.15,23581
,CRISIL,EQ,      1906.10,                 12121878.85,6370
,CRMFGETF,EQ,      2870.00,                    14350.00,5
,CROMPTON,EQ,       234.45,                363052762.10,1559195
,CROWN,SM,        79.00,                    79000.00,1000
,CTE,EQ,        64.20,                   425390.15,6582
,CUB,EQ,       168.15,                147251769.00,877151
,CUBEXTUB,BE,        19.50,                    43106.50,2207
,CUPID,EQ,       248.70,                 14788022.45,59010
,CYBERMEDIA,BE,        12.35,                     6175.00,500
,CYBERTECH,EQ,        56.00,                  5167940.55,90260
,CYIENT,EQ,       663.30,                345145269.15,529228
,DAAWAT,EQ,        84.25,                 52707338.25,629856
,DALMIABHA,EQ,      2831.40,                801744503.60,290362
,DALMIASUG,EQ,        67.25,                 22627365.90,329508
,DAMODARIND,EQ,       124.65,                  1504665.35,12089
,DATAMATICS,EQ,       103.10,                 11659693.90,112546
,DBCORP,EQ,       298.30,                 98495830.15,333768
,DBL,EQ,       985.35,                348335558.10,354530
,DBREALTY,EQ,        45.80,                 40136918.60,889662
,DCAL,EQ,       307.50,                148487652.00,489004
,DCBBANK,EQ,       162.95,                149629602.95,928596
,DCM,EQ,        86.05,                  4071536.80,46903
,DCMSHRIRAM,EQ,       405.95,                 57886450.15,141442
,DCW,EQ,        31.70,                 43495437.00,1419177
,DECCANCE,EQ,       517.35,                  6505882.70,12601
,DEEPAKFERT,EQ,       295.45,                 44568609.50,148808
,DEEPAKNTR,EQ,       247.95,                 61302848.55,247146
,DEEPIND,EQ,       149.80,                 18584204.40,122967
