,28-Mar-2018
The Nifty witnessed an intraday movement of about 61.45 points.The closing index was 0.69 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 43434.65
, Traded Quantity (in Lakhs), 19753.17
, Number of Trades, 12491763
, Total Market Capitalisation (Rs. Crores), 14044151.54

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BRIGADE,EQ,       245.65,                  2867162.60,11583
,BRNL,EQ,       193.20,                  8902295.30,46316
,BROOKS,EQ,        79.85,                  3151002.15,39051
,BSE,EQ,       756.20,                109687397.00,145619
,BSELINFRA,EQ,         3.80,                   447220.00,115429
,BSL,EQ,        54.85,                  1784601.55,32588
,BSLGOLDETF,EQ,      2850.00,                    17172.00,6
,BSLIMITED,BZ,          .90,                    27385.20,30428
,BSLNIFTY,EQ,       107.94,                     2698.50,25
,BURNPUR,EQ,         7.60,                  4076534.85,533332
,BUTTERFLY,EQ,       518.45,                  9513006.60,18587
,BVCL,BE,        27.70,                    68186.45,2441
,BYKE,EQ,       167.95,                  8835570.90,52153
,CADSYS,SM,        91.00,                   364000.00,4000
,CALSOFT,EQ,        42.35,                   393108.80,9289
,CAMLINFINE,EQ,       101.25,                 38542518.15,375932
,CANBK,EQ,       263.90,               3292917165.15,12329139
,CANDC,EQ,        46.55,                  1330649.45,27921
,CANFINHOME,EQ,       484.50,               1887584553.65,3867610
,CANTABIL,EQ,       116.60,                  3592147.10,30964
,CAPACITE,EQ,       302.55,                 53887358.40,179361
,CAPF,EQ,       615.95,                437411875.50,702433
,CAPLIPOINT,EQ,       569.55,                 13867721.20,24302
,CAPTRUST,EQ,       335.75,                  3171564.25,9270
,CARBORUNIV,EQ,       347.40,                  7496096.95,21562
,CAREERP,EQ,       109.65,                  4266640.45,38958
,CARERATING,EQ,      1208.70,                 52114660.35,42823
,CASTEXTECH,EQ,         3.50,                  3933819.65,1108329
,CASTROLIND,EQ,       204.90,                263960423.55,1293738
,CCCL,EQ,         3.95,                   156226.75,39584
,CCHHL,EQ,        12.20,                  1868356.50,155316
,CCL,EQ,       278.50,                 16480766.00,59057
,CDSL,EQ,       282.65,                 88855970.30,312013
,CEATLTD,EQ,      1506.30,                889929061.25,592287
,CEBBCO,EQ,        14.65,                   475961.70,32378
,CELEBRITY,EQ,        14.40,                  1104553.70,78646
,CELESTIAL,EQ,        13.25,                  1077483.05,81875
,CENTENKA,EQ,       301.35,                  3721396.75,12324
,CENTEXT,EQ,         4.85,                   811049.90,174991
,CENTRALBK,EQ,        72.35,                262231612.80,3593836
,CENTUM,EQ,       512.55,                  6370395.15,12841
,CENTURYPLY,EQ,       326.60,                 56837552.15,174314
,CENTURYTEX,EQ,      1142.60,                634754394.10,555849
,CERA,EQ,      3455.85,                108046661.90,31373
,CEREBRAINT,EQ,        55.75,                 59884832.30,1099614
,CESC,EQ,       966.20,               1668558096.35,1702137
,CGCL,EQ,        88.20,                 13762491.40,152589
,CGPOWER,EQ,        77.60,                230885874.15,2993788
,CHAMBLFERT,EQ,       164.65,                 62455980.40,380785
,CHENNPETRO,EQ,       327.35,                209985274.10,638468
,CHOLAFIN,EQ,      1450.45,                540291950.45,372406
,CHROMATIC,BE,         1.75,                   101085.70,57607
,CIGNITITEC,BE,       240.00,                  1037998.05,4311
,CIMMCO,EQ,        78.35,                  3706312.90,46699
,CINELINE,EQ,        70.00,                  3291825.35,46233
,CINEVISTA,EQ,         8.55,                    34665.85,3988
,CKPLEISURE,SM,        28.00,                  7640000.00,272000
,CKPPRODUCT,SM,       113.00,                   990000.00,9000
,CLEDUCATE,EQ,       189.50,                 40455961.80,210914
,CLNINDIA,EQ,       535.60,                  5224724.75,9757
,CMICABLES,EQ,       214.80,                  5914174.95,27185
,CMMIPL,SM,        57.55,                  2181000.00,36000
,CNOVAPETRO,EQ,        31.95,                    93792.60,2905
,COCHINSHIP,EQ,       502.35,                 52577386.10,105705
,COFFEEDAY,EQ,       304.85,                 21586550.65,71186
,COMPINFO,EQ,        40.30,                 20827614.60,524149
,COMPUSOFT,EQ,        11.10,                   531689.40,47903
,CONSOFINVT,EQ,        64.05,                   316040.20,4930
,CONTROLPR,EQ,       429.95,                  2032916.55,4684
,CORALFINAC,EQ,        32.50,                  2730780.10,83676
,CORDSCABLE,EQ,        80.50,                  1407201.50,17264
,COROMANDEL,EQ,       525.15,                206365342.60,397478
,CORPBANK,EQ,        30.65,                 18167368.65,587951
,COSMOFILMS,EQ,       245.05,                 12163751.65,49469
,COUNCODOS,EQ,         2.95,                    63674.75,21452
,COX&KINGS,EQ,       228.00,                 31762719.10,138005
,CPSEETF,EQ,        28.01,                 18531941.17,666318
,CREST,EQ,       182.65,                  3113102.70,16873
,CRISIL,EQ,      1884.45,                  7733569.60,4106
,CRMFGETF,EQ,      2875.00,                     2875.00,1
,CROMPTON,EQ,       236.75,                338720251.70,1437752
,CTE,EQ,        63.80,                   598667.25,9267
,CUB,EQ,       172.45,                139590490.85,818373
,CUBEXTUB,BE,        19.40,                    44171.95,2161
,CUPID,EQ,       236.95,                 31063927.85,130386
,CYBERMEDIA,BE,        11.80,                     7203.00,585
,CYBERTECH,EQ,        57.15,                  1529335.85,26421
,CYIENT,EQ,       694.85,                371653901.90,538128
,DAAWAT,EQ,        85.00,                 45398924.75,530275
,DALMIABHA,EQ,      2874.15,                367463835.90,128483
,DALMIASUG,EQ,        64.35,                 12822582.35,194159
,DAMODARIND,EQ,       129.25,                   865928.95,6674
,DATAMATICS,EQ,       102.15,                  9508307.50,92307
,DBCORP,EQ,       311.55,                215284892.20,684808
,DBL,EQ,      1003.30,                440710532.85,436541
,DBREALTY,EQ,        46.05,                 35453091.50,774270
,DCAL,EQ,       320.35,                 43320184.00,133173
,DCBBANK,EQ,       161.55,                138569263.85,854907
,DCM,EQ,        88.00,                   657869.80,7384
,DCMSHRIRAM,EQ,       424.25,                 58735862.60,139617
,DCW,EQ,        30.70,                 14556018.15,466859
,DECCANCE,EQ,       505.85,                  3203900.15,6287
,DEEPAKFERT,EQ,       288.50,                 49658590.45,171992
,DEEPAKNTR,EQ,       247.90,                 35459206.00,142229
,DEEPIND,EQ,       144.85,                 12353398.15,83835
,DELTACORP,EQ,       250.25,               3980356324.55,15114214
,DELTAMAGNT,BE,        59.35,                     5935.00,100
,DEN,EQ,       101.15,                 27048363.40,268150
,DENABANK,EQ,        18.80,                 35785112.20,1882082
