,30-Oct-2018
The Nifty witnessed an intraday movement of about 109.75 points.The closing index was 0.51 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 32393.66
, Traded Quantity (in Lakhs), 16367.36
, Number of Trades, 13096326
, Total Market Capitalisation (Rs. Crores), 13493084.41

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNOVAPETRO,EQ,        24.00,                    25167.90,1038
,COCHINSHIP,EQ,       381.30,                 32533159.35,85414
,COFFEEDAY,EQ,       260.15,                 45383102.25,173881
,COMPINFO,EQ,        21.75,                  5831561.15,268085
,COMPUSOFT,EQ,        11.15,                   115584.20,10389
,CONSOFINVT,EQ,        52.25,                    16916.00,321
,CONTROLPR,EQ,       343.55,                 42184685.30,122658
,CORALFINAC,EQ,        13.70,                    99416.20,7256
,CORDSCABLE,EQ,        60.00,                  1317741.60,21707
,COROMANDEL,EQ,       413.70,                 54755518.75,135254
,CORPBANK,EQ,        25.70,                 20059876.70,789833
,COSMOFILMS,EQ,       249.30,                  3920304.40,16027
,COUNCODOS,EQ,         2.45,                    66270.35,27468
,COX&KINGS,BE,       204.45,                  1799568.90,8802
,CPSEETF,EQ,        24.88,                  4303839.34,171868
,CREATIVE,SM,        95.00,                   732560.00,8000
,CREATIVEYE,EQ,         2.60,                     5213.00,2005
,CREDITACC,EQ,       290.15,                 18401802.50,64264
,CREST,EQ,       140.15,                  1295957.75,9109
,CRISIL,EQ,      1419.40,                 23540547.10,16722
,CROMPTON,EQ,       206.20,                 62745679.05,307294
,CTE,EQ,        43.70,                    85903.20,1902
,CUB,EQ,       171.40,                 62224261.35,364595
,CUBEXTUB,EQ,        12.15,                     1262.35,104
,CUMMINSIND,EQ,       673.30,                308092085.25,455587
,CUPID,EQ,       167.25,                  2397581.90,14272
,CURATECH,BE,         2.30,                        2.30,1
,CYBERMEDIA,EQ,         7.15,                      543.40,76
,CYBERTECH,EQ,        42.90,                   249605.55,5850
,CYIENT,EQ,       620.30,                187113675.25,299818
,DAAWAT,EQ,        35.95,                 36972958.85,1018553
,DALMIABHA,EQ,      2111.15,                442095215.55,212262
,DALMIASUG,EQ,        93.25,                 53697239.80,568883
,DAMODARIND,EQ,        46.30,                   756002.50,16522
,DANGEE,SM,       205.45,                  3287840.00,16000
,DATAMATICS,EQ,       112.05,                  2671290.45,23551
,DBCORP,EQ,       164.45,                  2798371.05,17124
,DBL,EQ,       400.85,                277923903.20,690299
,DBREALTY,EQ,        17.35,                  4691584.25,269157
,DCAL,EQ,       229.15,                 11369555.15,49622
,DCBBANK,EQ,       158.90,                511095896.95,3151066
,DCM,EQ,        74.05,                   281578.80,3774
,DCMSHRIRAM,EQ,       411.75,                 61770882.75,149397
,DCW,EQ,        18.45,                  2574231.10,139667
,DECCANCE,EQ,       362.50,                   192160.45,530
,DEEPAKFERT,EQ,       201.80,                 24127359.55,118737
,DEEPAKNTR,EQ,       241.55,                 26217071.60,107402
,DEEPIND,EQ,       100.05,                  1395254.70,13816
,DELTACORP,EQ,       235.05,                272220539.75,1166499
,DELTAMAGNT,BE,        68.15,                    46545.25,666
