,25-Apr-2019
The Nifty witnessed an intraday movement of about 172.45 points.The closing index was 0.72 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 45084.45
, Traded Quantity (in Lakhs), 18758.32
, Number of Trades, 11724762
, Total Market Capitalisation (Rs. Crores), 15026846.11

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BSE,EQ,       616.50,                 25587256.65,41414
,BSELINFRA,EQ,         1.90,                    56573.60,29766
,BSHSL,SM,       129.00,                   257800.00,2000
,BSL,EQ,        41.75,                    94757.70,2249
,BSLGOLDETF,EQ,      2925.00,                    43855.05,15
,BSLNIFTY,EQ,       127.45,                    19366.91,152
,BSOFT,EQ,        96.60,                 79660665.85,820106
,BURNPUR,BE,         2.75,                   326691.20,120776
,BUTTERFLY,EQ,       188.60,                 53529085.95,277418
,BVCL,BE,        17.45,                     1745.00,100
,BYKE,EQ,        30.40,                  1509279.90,49437
,CADSYS,SM,        50.00,                   100000.00,2000
,CALSOFT,EQ,        23.85,                   145642.45,6130
,CAMLINFINE,EQ,        47.60,                  6936707.15,146809
,CANBK,EQ,       271.55,                779564658.00,2857540
,CANDC,BZ,         9.95,                    32308.55,3292
,CANFINHOME,EQ,       319.80,                431748663.30,1347648
,CANTABIL,EQ,       262.95,                  7151811.05,26897
,CAPACITE,EQ,       229.85,                  5762146.75,25040
,CAPLIPOINT,EQ,       376.05,                  3767411.30,9947
,CAPTRUST,EQ,       216.25,                  2381844.15,11056
,CARBORUNIV,EQ,       368.15,                  6343263.85,17116
,CAREERP,EQ,        69.60,                   495247.80,7069
,CARERATING,EQ,       978.70,                 76018247.75,77389
,CASTEXTECH,EQ,          .90,                    27565.50,31802
,CASTROLIND,EQ,       155.20,                224416246.95,1439221
,CCHHL,EQ,         6.15,                   110769.15,17933
,CCL,EQ,       256.10,                  6274835.30,24340
,CDSL,EQ,       232.30,                 39791110.40,171061
,CEATLTD,EQ,      1088.60,                362346349.50,332595
,CEBBCO,EQ,        18.75,                    48180.75,2568
,CELEBRITY,EQ,         8.85,                    23956.60,2747
,CELESTIAL,EQ,         5.50,                    17458.85,3179
,CENTENKA,EQ,       230.40,                 16262228.30,70247
,CENTEXT,EQ,         5.55,                   166582.25,30025
,CENTRALBK,EQ,        33.30,                 10100747.15,300298
,CENTRUM,EQ,        30.80,                   953842.35,30526
,CENTUM,EQ,       455.40,                   393957.75,862
,CENTURYPLY,EQ,       181.40,                 13457741.85,73769
,CENTURYTEX,EQ,       929.70,                861729688.20,913723
,CERA,EQ,      2848.15,                 10533600.00,3713
,CEREBRAINT,EQ,        28.05,                  1976777.20,70374
,CES1RPG,MF,         9.85,                    49250.00,5000
,CESC,EQ,       688.60,                313306404.20,448447
,CESCVENT,EQ,       509.80,                 33914999.10,66132
,CGCL,EQ,       173.70,                121398604.15,690924
,CGPOWER,EQ,        39.25,                785627730.50,20295184
