,05-Apr-2018
The Nifty witnessed an intraday movement of about 104.35 points.The closing index was 1.94 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 30418.5
, Traded Quantity (in Lakhs), 16252.93
, Number of Trades, 9755809
, Total Market Capitalisation (Rs. Crores), 14492838.07

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BSLIMITED,BZ,         1.00,                   100373.95,101154
,BSLNIFTY,EQ,       108.00,                    13187.50,122
,BURNPUR,EQ,         9.10,                  3422900.30,379610
,BUTTERFLY,EQ,       535.05,                 21077094.70,39089
,BVCL,BE,        29.60,                    41043.70,1399
,BYKE,EQ,       192.35,                  8938698.10,46603
,CADSYS,SM,        92.20,                   740900.00,8000
,CALSOFT,EQ,        38.90,                   784450.65,19823
,CAMLINFINE,EQ,       104.85,                 30746211.20,292589
,CANBK,EQ,       283.10,               2717113720.95,9903456
,CANDC,EQ,        51.40,                  1381474.80,26963
,CANFINHOME,EQ,       439.30,                548224338.05,1255931
,CANTABIL,EQ,       126.45,                  7266884.00,58235
,CAPACITE,EQ,       337.95,                 79444863.35,233748
,CAPF,EQ,       656.10,                674653368.15,1028619
,CAPLIPOINT,EQ,       604.90,                  7359892.35,12143
,CAPTRUST,EQ,       410.85,                  2006119.30,4946
,CARBORUNIV,EQ,       372.20,                 35608927.95,95526
,CAREERP,EQ,       117.80,                  2374657.85,20174
,CARERATING,EQ,      1306.30,                512869116.20,412855
,CASTEXTECH,EQ,         4.05,                   679517.10,167782
,CASTROLIND,EQ,       207.95,                219996388.40,1055919
,CCCL,EQ,         4.20,                   666823.15,157876
,CCHHL,EQ,        12.70,                  1229662.65,98155
,CCL,EQ,       289.90,                 11096535.90,38381
,CDSL,EQ,       308.35,                135823838.10,443428
,CEATLTD,EQ,      1645.75,               1950203284.05,1193626
,CEBBCO,EQ,        16.80,                  1459865.70,85550
,CELEBRITY,EQ,        16.20,                   468089.15,28950
,CELESTIAL,EQ,        15.65,                   407515.55,26259
,CENTENKA,EQ,       344.90,                 30149626.40,87550
,CENTEXT,EQ,         5.45,                  1043092.05,191771
,CENTRALBK,EQ,        70.50,                110848838.05,1572130
,CENTRUM,EQ,        62.10,                 16725094.75,266945
,CENTUM,EQ,       544.85,                    84315.35,156
,CENTURYPLY,EQ,       349.25,                219530862.75,633428
,CENTURYTEX,EQ,      1201.30,                491710420.15,410178
,CERA,EQ,      3369.95,                  6989490.15,2069
,CEREBRAINT,EQ,        58.10,                103649147.45,1807826
,CESC,EQ,       999.20,                282642215.75,282998
,CGCL,EQ,        95.50,                  2672850.60,28248
,CGPOWER,EQ,        80.30,                 33988746.80,423202
,CHAMBLFERT,EQ,       165.05,                 40991550.10,248193
,CHENNPETRO,EQ,       339.80,                 74481410.65,219479
,CHOLAFIN,EQ,      1524.75,                324895507.35,213125
,CHROMATIC,BE,         1.80,                   154260.65,85110
,CIGNITITEC,BE,       257.00,                   597461.00,2335
,CIMMCO,EQ,        90.05,                  2136071.00,23676
,CINELINE,EQ,        74.95,                  2625293.45,34943
,CINEVISTA,EQ,         9.60,                   236180.30,24701
,CKPPRODUCT,SM,        90.40,                   542400.00,6000
,CLEDUCATE,EQ,       185.20,                  1666465.95,9005
,CLNINDIA,EQ,       553.10,                  5510611.65,9950
,CMICABLES,EQ,       229.50,                  2500033.60,10862
,CMMIPL,SM,        60.00,                  1453650.00,24000
,CNOVAPETRO,EQ,        34.30,                   275319.70,8036
,COCHINSHIP,EQ,       517.45,                 40327296.60,77993
,COFFEEDAY,EQ,       306.00,                 15378222.45,50127
,COMPINFO,EQ,        44.20,                  3118717.55,69419
,COMPUSOFT,EQ,        12.95,                   480788.70,37336
,CONSOFINVT,EQ,        66.40,                   630909.20,9506
,CONTI,ST,        27.00,                 22805800.00,884000
,CONTROLPR,EQ,       444.95,                  1588166.40,3532
,CORALFINAC,EQ,        31.95,                  1956236.00,60924
,CORDSCABLE,EQ,        83.55,                  2068872.10,24795
,COROMANDEL,EQ,       533.40,                 32950137.30,61754
,CORPBANK,EQ,        31.90,                 16511966.70,525074
,COSMOFILMS,EQ,       278.70,                 10785061.50,38801
,COUNCODOS,EQ,         3.10,                   194047.85,64090
,COX&KINGS,EQ,       236.65,                  8156545.50,34505
,CPSEETF,EQ,        28.01,                 10364280.57,370328
,CREATIVEYE,EQ,         3.95,                     2628.05,659
,CREST,EQ,       202.45,                  1940669.80,9491
,CRISIL,EQ,      1905.20,                 21274415.35,11238
,CRMFGETF,EQ,      2890.00,                   196245.00,68
,CROMPTON,EQ,       234.05,                110307252.40,476687
,CROWN,SM,        78.80,                    78800.00,1000
,CTE,EQ,        65.45,                   162210.55,2479
,CUB,EQ,       177.40,                 97946674.65,552272
,CUBEXTUB,BE,        19.20,                    61140.00,3205
,CUPID,EQ,       300.45,                165304319.05,531021
,CYBERMEDIA,BE,        12.50,                     1250.00,100
