,09-Apr-2018
The Nifty witnessed an intraday movement of about 69.2 points.The closing index was 0.46 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 27875.82
, Traded Quantity (in Lakhs), 13825.77
, Number of Trades, 10059195
, Total Market Capitalisation (Rs. Crores), 14591750.14

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CARERATING,EQ,      1325.10,                 71697055.65,54784
,CASTEXTECH,EQ,         4.45,                   536216.10,120498
,CASTROLIND,EQ,       207.60,                 67685610.05,325713
,CCCL,EQ,         4.20,                   122068.15,28685
,CCHHL,EQ,        13.20,                  1216844.60,90557
,CCL,EQ,       285.45,                  6713555.25,23482
,CDSL,EQ,       303.70,                188102693.60,614299
,CEATLTD,EQ,      1651.40,                867490157.10,524721
,CEBBCO,EQ,        17.65,                  1210810.50,68072
,CELEBRITY,EQ,        16.50,                   804846.85,49145
,CELESTIAL,EQ,        15.85,                  1085857.20,67703
,CENTENKA,EQ,       366.15,                 27245877.35,74302
,CENTEXT,EQ,         5.85,                   319169.50,55980
,CENTRALBK,EQ,        71.35,                 46329024.00,647179
,CENTRUM,EQ,        62.25,                  9500700.35,151588
,CENTUM,EQ,       535.10,                   643798.05,1202
,CENTURYPLY,EQ,       357.35,                 68081388.50,190413
,CENTURYTEX,EQ,      1203.50,                596859110.90,491969
,CERA,EQ,      3329.05,                 14150409.45,4223
,CEREBRAINT,EQ,        59.40,                 52321788.20,887173
,CESC,EQ,      1018.00,                559057745.05,556855
,CGCL,EQ,        95.30,                  1161071.75,12184
,CGPOWER,EQ,        81.20,                 96143657.70,1182390
,CHAMBLFERT,EQ,       166.70,                 60121364.65,362518
,CHENNPETRO,EQ,       355.90,                268124227.05,757696
,CHOLAFIN,EQ,      1538.40,                321381397.90,209189
,CHROMATIC,BE,         1.90,                    43016.00,22640
,CIGNITITEC,BE,       252.95,                  1718009.35,6777
,CIMMCO,EQ,        91.45,                   443969.70,4825
,CINELINE,EQ,        74.90,                  3691748.50,49113
,CINEVISTA,EQ,        11.00,                   289738.75,26721
,CKPLEISURE,SM,        27.00,                   108000.00,4000
,CLEDUCATE,EQ,       200.50,                  1190470.35,5910
,CLNINDIA,EQ,       555.60,                  5087850.15,9113
,CMICABLES,EQ,       241.15,                  7824972.85,32283
,CMMIPL,SM,        61.00,                  1264800.00,21000
,CNOVAPETRO,EQ,        34.85,                    54074.00,1552
,COCHINSHIP,EQ,       528.90,                 67831336.70,128077
,COFFEEDAY,EQ,       304.75,                 31027096.00,101255
,COMPINFO,EQ,        42.90,                  2445759.85,56575
,COMPUSOFT,EQ,        13.65,                   930824.85,66614
,CONSOFINVT,EQ,        67.00,                     2035.50,30
,CONTI,ST,        26.70,                  1568000.00,60000
,CONTROLPR,EQ,       445.35,                  3076379.00,6909
,CORALFINAC,EQ,        31.80,                  2816360.40,88547
,CORDSCABLE,EQ,        90.50,                  3306649.75,36525
,COROMANDEL,EQ,       531.10,                 23848754.00,44776
,CORPBANK,EQ,        32.10,                  8986096.65,279278
,COSMOFILMS,EQ,       279.35,                  5770966.60,20721
,COUNCODOS,EQ,         3.10,                    58111.20,18728
,COX&KINGS,EQ,       238.50,                 30801680.75,128907
,CPSEETF,EQ,        28.18,                  9227467.94,327789
,CREATIVEYE,EQ,         4.10,                        4.10,1
,CREST,EQ,       208.55,                   517454.30,2500
,CRISIL,EQ,      1902.50,                 87466757.00,45955
,CRMFGETF,EQ,      2885.00,                     2885.00,1
,CROMPTON,EQ,       240.00,                766367845.05,3270822
,CTE,EQ,        65.75,                   298010.15,4512
,CUB,EQ,       175.20,                 53896381.65,306178
,CUBEXTUB,BE,        20.40,                    92617.30,4585
,CUPID,EQ,       302.95,                 57464680.50,190672
,CYBERMEDIA,BE,        12.50,                     2500.00,200
,CYBERTECH,EQ,        68.95,                   859340.70,12331
,CYIENT,EQ,       632.30,                 84613116.60,132435
,DAAWAT,EQ,        97.70,                157440756.95,1614077
,DALMIABHA,EQ,      2780.00,                483636751.90,173316
,DALMIASUG,EQ,        69.65,                  2294945.35,32871
,DAMODARIND,EQ,       133.70,                  3587042.30,26367
,DATAMATICS,EQ,       127.30,                232107181.90,1839990
,DBCORP,EQ,       316.75,                  3577029.35,11317
,DBL,EQ,      1160.25,                444637045.25,375871
,DBREALTY,EQ,        55.05,                 34251228.40,612570
,DCAL,EQ,       327.80,                 33247575.75,100285
,DCBBANK,EQ,       173.80,                234997594.50,1355579
,DCM,EQ,        99.35,                  2892997.95,29266
,DCMSHRIRAM,EQ,       460.90,                194825748.60,421601
,DCW,EQ,        35.50,                 16547579.90,464033
,DECCANCE,EQ,       520.10,                   684041.35,1315
,DEEPAKFERT,EQ,       354.75,                129599556.90,371243
,DEEPAKNTR,EQ,       256.65,                 26403360.30,102222
,DEEPIND,EQ,       171.75,                 21250998.50,122328
,DELTACORP,EQ,       280.45,                520290138.80,1844996
,DEN,EQ,       111.05,                 56668945.60,511660
,DENABANK,EQ,        20.35,                 20115869.25,988344
,DENORA,BE,       468.05,                  3459096.70,7319
,DEVIT,SM,        76.30,                   573375.00,7500
,DFMFOODS,EQ,      1413.85,                   686669.05,482
,DHAMPURSUG,EQ,       136.85,                 13473644.65,98295
,DHANBANK,EQ,        23.25,                  6897417.85,297138
,DHANUKA,EQ,       599.10,                  7922992.60,13241
