,30-Apr-2018
The Nifty witnessed an intraday movement of about 54.4 points.The closing index was 0.44 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28571.39
, Traded Quantity (in Lakhs), 12300.88
, Number of Trades, 9921677
, Total Market Capitalisation (Rs. Crores), 15092002.34

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BLUEDART,N3,        10.04,                    26087.20,2630
,BLUEDART,N2,         9.51,                     3804.00,400
,BLUESTARCO,EQ,       801.60,                 32699623.95,40588
,BODALCHEM,EQ,       118.40,                 32947256.95,276012
,BOHRA,SM,        42.00,                    84000.00,2000
,BOMDYEING,EQ,       310.20,               3568166932.05,11573611
,BPL,EQ,        81.95,                 14702638.30,178360
,BRFL,BE,        23.25,                   451538.25,19421
,BRIGADE,EQ,       281.70,                 20078102.70,71267
,BRNL,EQ,       179.75,                  6184878.20,34401
,BROOKS,EQ,        94.70,                  3902509.55,40511
,BSE,EQ,       824.00,                 76385041.30,93213
,BSELINFRA,EQ,         4.10,                   212388.15,52037
,BSHSL,ST,        69.70,                 15371300.00,224000
,BSL,EQ,        65.45,                   800309.15,12404
,BSLGOLDETF,EQ,      2899.00,                   146487.10,51
,BSLIMITED,BZ,          .75,                    79976.50,106342
,BSLNIFTY,EQ,       106.00,                    26198.59,246
,BURNPUR,BE,         7.60,                  2105590.20,276202
,BUTTERFLY,EQ,       547.55,                 12921569.50,23456
,BVCL,BE,        26.90,                    73569.90,2680
,BYKE,EQ,       190.85,                  3657029.00,19024
,CADSYS,SM,        94.00,                   188000.00,2000
,CALSOFT,EQ,        38.95,                   324687.20,8336
,CAMLINFINE,EQ,       107.10,                 24739513.15,229924
,CANBK,EQ,       265.95,               1400667376.45,5303769
,CANDC,EQ,        48.55,                   919554.25,18997
,CANFINHOME,EQ,       421.50,               1174246587.10,2773627
,CANTABIL,BE,       130.70,                  3554210.10,26607
,CAPACITE,EQ,       356.85,                 28622679.10,79464
,CAPF,EQ,       642.50,                160532341.15,250696
,CAPLIPOINT,EQ,       599.10,                  8100430.00,13512
,CAPTRUST,EQ,       407.50,                   822267.70,1999
,CARBORUNIV,EQ,       377.25,                 24199757.20,64664
,CAREERP,EQ,       127.00,                  6869766.60,54066
,CARERATING,EQ,      1273.60,                 37500258.10,29435
,CASTEXTECH,EQ,         2.85,                   920624.10,323026
,CASTROLIND,EQ,       194.85,                 87055204.50,446398
,CCCL,EQ,         3.90,                   212401.00,54016
,CCHHL,EQ,        12.80,                   981619.20,77324
,CCL,EQ,       312.85,                 25930163.60,83615
,CDSL,EQ,       286.45,                188942669.10,651014
,CEATLTD,EQ,      1590.40,               1486345983.95,935556
,CEBBCO,EQ,        14.80,                   537552.55,35999
,CELEBRITY,EQ,        15.70,                  4701284.75,291207
,CELESTIAL,EQ,        15.40,                 10754361.40,670838
,CENTENKA,EQ,       365.00,                 19226140.65,52342
,CENTEXT,EQ,         5.30,                   431314.50,81050
,CENTRALBK,EQ,        70.25,                 12292699.20,174925
,CENTRUM,EQ,        59.80,                 28896921.45,470293
,CENTUM,EQ,       542.50,                  2256003.15,4229
,CENTURYPLY,EQ,       325.95,                 33292066.40,102247
,CENTURYTEX,EQ,      1262.55,                695006625.80,551880
,CERA,EQ,      3166.10,                  8649073.00,2709
,CEREBRAINT,EQ,        67.65,                114851144.50,1684708
,CESC,EQ,      1060.25,                311393737.75,293627
,CGCL,EQ,        93.30,                   619626.15,6627
,CGPOWER,EQ,        83.85,                199936193.70,2434950
,CHAMBLFERT,EQ,       195.55,                129310042.80,649021
,CHEMFAB,BE,       218.40,                  2159097.65,9561
,CHENNPETRO,EQ,       321.05,                 59854615.50,185812
,CHOLAFIN,EQ,      1741.45,                413035561.60,236935
,CHROMATIC,BE,         1.85,                    55140.60,30626
,CIGNITITEC,BE,       239.20,                    72609.90,307
,CIMMCO,EQ,        82.40,                   726838.25,8818
,CINELINE,EQ,        80.40,                  1394438.55,17385
,CINEVISTA,EQ,         9.25,                    32688.65,3470
,CKPPRODUCT,SM,        68.00,                  1026000.00,15000
,CLEDUCATE,EQ,       219.55,                  1234646.20,5653
,CLNINDIA,EQ,       539.65,                  9015994.25,16696
,CMICABLES,EQ,       361.00,                 27263218.05,75628
,CMMIPL,SM,        67.80,                  4714350.00,69000
,CNOVAPETRO,EQ,        33.80,                    73999.45,2158
,COCHINSHIP,EQ,       530.95,                 27420439.90,51408
,COFFEEDAY,EQ,       345.20,                394042080.10,1135607
,COMPINFO,EQ,        39.85,                  2359253.25,58482
,COMPUSOFT,EQ,        14.00,                   493528.95,35174
,CONSOFINVT,EQ,        62.40,                   182901.85,2928
,CONTROLPR,EQ,       459.05,                   522718.25,1135
,CORALFINAC,EQ,        29.70,                   790167.60,26270
,CORDSCABLE,EQ,        94.40,                  1931030.25,20169
,COROMANDEL,EQ,       475.50,                221670620.30,465848
,CORPBANK,EQ,        30.10,                  3438053.95,113009
,COSMOFILMS,EQ,       279.75,                  4130790.70,14641
,COUNCODOS,EQ,         2.90,                    31831.30,10816
,COX&KINGS,EQ,       219.90,                 32122875.60,145592
,CPSEETF,EQ,        27.77,                  8724268.73,313386
,CREST,EQ,       208.90,                  1326560.20,6335
,CRISIL,EQ,      1878.35,                 26335207.70,14031
,CRMFGETF,EQ,      2910.00,                     8730.00,3
,CROMPTON,EQ,       236.00,                 75725963.85,322071
,CTE,EQ,        64.75,                   229606.10,3510
,CUB,EQ,       183.85,                 29809065.05,162053
,CUBEXTUB,BE,        21.05,                   145521.90,6399
,CUPID,EQ,       306.35,                231712360.30,728399
,CYBERTECH,EQ,        67.45,                  2012107.10,29181
,CYIENT,EQ,       760.90,                283076496.20,375452
,DAAWAT,EQ,        91.25,                 46305517.05,506210
,DALMIABHA,EQ,      3049.35,                419175720.80,137780
,DALMIASUG,EQ,        64.65,                 11901385.55,183987
,DAMODARIND,EQ,       129.70,                   697766.25,5375
,DATAMATICS,EQ,       128.80,                 16689557.80,128354
,DBCORP,EQ,       299.80,                  7940726.55,26555
,DBL,EQ,      1162.45,                133407162.50,113985
,DBREALTY,EQ,        64.70,                 97717907.85,1491224
,DBSTOCKBRO,EQ,         8.50,                      858.50,101
,DCAL,EQ,       373.95,                 50444724.60,136246
,DCBBANK,EQ,       195.10,                229080423.50,1173243
,DCM,EQ,        95.60,                  2379048.15,24820
,DCMFINSERV,BE,         2.15,                     3240.80,1512
,DCMSHRIRAM,EQ,       332.50,                 76501423.75,228680
,DCW,EQ,        34.10,                  6897565.35,200654
,DECCANCE,EQ,       530.25,                  1195434.90,2260
,DEEPAKFERT,EQ,       353.35,                 30551472.55,85857
