,17-Sep-2019
The Nifty witnessed an intraday movement of about 203.6 points.The closing index was 1.69 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 31566.07
, Traded Quantity (in Lakhs), 17015.01
, Number of Trades, 12671923
, Total Market Capitalisation (Rs. Crores), 13848401

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CANTABIL,EQ,       208.25,                  2334938.70,11121
,CAPACITE,EQ,       213.20,                  8438736.35,39429
,CAPLIPOINT,EQ,       423.50,                  8020278.95,18802
,CAPTRUST,BE,       124.65,                   129964.75,1045
,CARBORUNIV,EQ,       286.85,                  5143074.95,17811
,CAREERP,EQ,        96.20,                  5545599.45,58038
,CARERATING,EQ,       527.15,                 81923111.70,154628
,CASTEXTECH,EQ,          .55,                    24845.30,47415
,CASTROLIND,EQ,       125.00,                137777527.90,1089867
,CCHHL,EQ,         4.20,                    62560.40,15375
,CCL,EQ,       243.85,                  2711334.20,11064
,CDSL,EQ,       205.05,                 38324402.20,187141
,CEATLTD,EQ,       893.30,                170879270.40,185929
,CEBBCO,EQ,        14.80,                  1551300.60,102005
,CELEBRITY,EQ,         6.90,                    72889.00,10522
,CELESTIAL,BE,         3.70,                    29514.40,7817
,CENTENKA,EQ,       183.00,                  6369241.70,34650
,CENTEXT,EQ,         3.00,                   259278.70,86978
,CENTRALBK,EQ,        19.75,                  5559430.70,279891
,CENTRUM,EQ,        24.55,                 43831427.90,1773089
,CENTUM,EQ,       412.15,                  1021369.65,2461
,CENTURYPLY,EQ,       143.20,                 18380969.10,125770
,CENTURYTEX,EQ,       903.35,                384876421.55,421045
,CERA,EQ,      2549.75,                113739673.20,44605
,CEREBRAINT,EQ,        25.00,                 12964871.80,520800
,CES1RPG,MF,         9.44,                    14200.00,1500
,CESC,EQ,       814.60,                914136200.20,1106462
,CESCVENT,EQ,       388.55,                 17273398.80,43019
,CGCL,EQ,       177.00,                 71007052.80,396843
,CGPOWER,EQ,        15.65,                  8132225.15,519631
,CHALET,EQ,       324.85,                164023843.55,506101
,CHAMBLFERT,EQ,       154.10,                 27532463.75,173168
,CHEMFAB,EQ,       175.80,                   982296.25,5356
,CHENNPETRO,EQ,       184.95,                 22358669.40,119131
,CHOLAFIN,EQ,       265.25,                136375688.75,506565
,CHOLAHLDNG,EQ,       430.35,                108650298.70,251336
,CHROMATIC,EQ,          .60,                     9297.00,15495
,CIGNITITEC,EQ,       302.20,                  2000053.05,6612
,CIMMCO,EQ,        22.00,                   438314.80,19229
,CINELINE,EQ,        34.75,                   138729.25,3938
,CINEVISTA,EQ,         8.05,                   193855.80,24397
,CKFSL,EQ,          .70,                   222081.85,312866
,CKPLEISURE,SM,         4.95,                  1204600.00,244000
,CKPPRODUCT,SM,        27.30,                  1064700.00,39000
,CLEDUCATE,EQ,        84.90,                    85241.90,1005
,CLNINDIA,EQ,       296.95,                  2916221.40,9738
,CMICABLES,EQ,        67.60,                  1409773.05,19900
,CMMIPL,SM,         3.95,                    11850.00,3000
,CNOVAPETRO,EQ,         8.80,                    48540.25,5366
,COCHINSHIP,EQ,       348.95,                 50221624.05,143720
,COFFEEDAY,EQ,        72.75,                137427686.80,1858090
,COMPINFO,EQ,        10.25,                  2149591.80,200866
,COMPUSOFT,EQ,         8.75,                   207732.75,23574
,CONFIPET,EQ,        30.20,                 11792873.10,382473
,CONSOFINVT,EQ,        35.20,                     3169.90,88
,CONTROLPR,EQ,       244.75,                   289660.90,1180
,CORALFINAC,EQ,        12.70,                   345705.80,27338
,CORDSCABLE,EQ,        41.45,                  1164681.30,27047
,COROMANDEL,EQ,       397.75,                 36062676.90,91003
