,29-Nov-2018
The Nifty witnessed an intraday movement of about 100.7 points.The closing index was 1.21 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 43142.02
, Traded Quantity (in Lakhs), 19627.27
, Number of Trades, 13317117
, Total Market Capitalisation (Rs. Crores), 14078722.81

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CAPTRUST,EQ,       169.30,                   657744.20,3826
,CARBORUNIV,EQ,       359.40,                  5138775.70,14327
,CAREERP,EQ,        74.30,                  1308352.15,17916
,CARERATING,EQ,       961.05,                144612935.70,151253
,CASTEXTECH,EQ,         1.30,                   236355.90,181189
,CASTROLIND,EQ,       156.25,               1116026941.75,7085532
,CCCL,BE,         2.20,                    25528.80,11604
,CCHHL,EQ,         7.70,                   296366.45,38682
,CCL,EQ,       268.45,                  6841539.90,25505
,CDSL,EQ,       237.25,                153430302.05,651751
,CEATLTD,EQ,      1253.90,                957532459.45,771963
,CEBBCO,EQ,        16.35,                  4063306.00,249922
,CELEBRITY,EQ,         9.25,                    94749.05,10191
,CELESTIAL,EQ,         8.05,                   164028.15,20303
,CENTENKA,EQ,       267.10,                  5266363.85,19567
,CENTEXT,EQ,         6.65,                  1705788.35,259409
,CENTRALBK,EQ,        29.00,                 13240745.40,453037
,CENTRUM,EQ,        38.05,                  4754858.60,124804
,CENTUM,EQ,       369.40,                   971294.10,2616
,CENTURYPLY,EQ,       177.45,                 30424197.35,172842
,CENTURYTEX,EQ,       894.15,                279665705.15,311638
,CERA,EQ,      2344.90,                 35222220.40,14746
,CEREBRAINT,EQ,        31.25,                 17826710.50,570733
,CES1RPG,MF,         9.08,                   803186.00,89200
,CESC,EQ,       693.90,                371076269.70,534049
,CGCL,EQ,       125.80,                 26317456.75,210642
,CGPOWER,EQ,        38.30,                219695410.30,5783475
,CHAMBLFERT,EQ,       148.70,                 16478156.45,110009
,CHEMFAB,EQ,       146.45,                   504103.25,3419
,CHENNPETRO,EQ,       277.95,                120648739.95,438651
,CHOLAFIN,EQ,      1334.20,                671694567.05,510320
,CHROMATIC,EQ,         1.00,                    55553.35,55405
,CIGNITITEC,EQ,       391.95,                 17944862.40,46319
,CIMMCO,EQ,        41.55,                   660609.90,15819
,CINELINE,EQ,        47.60,                  1668126.65,35311
,CINEVISTA,EQ,         5.90,                    28366.70,4970
,CKPLEISURE,SM,         5.90,                    47400.00,8000
,CLEDUCATE,EQ,       119.35,                   342369.20,2839
,CLNINDIA,EQ,       387.10,                  2211399.35,5705
,CMICABLES,EQ,       126.55,                  1333389.90,10524
,CNOVAPETRO,EQ,        23.55,                   183213.10,7855
,COCHINSHIP,EQ,       379.65,                 19764298.35,52091
,COFFEEDAY,EQ,       264.25,                 17156995.25,64312
,COMPINFO,EQ,        24.10,                   827905.25,34749
,COMPUSOFT,EQ,        11.25,                    78935.05,7030
,CONSOFINVT,EQ,        48.30,                    36262.45,731
,CONTROLPR,EQ,       328.95,                  7890634.05,23361
