,14-Nov-2018
The Nifty witnessed an intraday movement of about 118.9 points.The closing index was 0.06 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 35973.53
, Traded Quantity (in Lakhs), 15719.49
, Number of Trades, 13249324
, Total Market Capitalisation (Rs. Crores), 13967890.08

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,COSMOFILMS,EQ,       237.25,                  3411391.60,14236
,COUNCODOS,EQ,         2.90,                   266035.80,91075
,COX&KINGS,EQ,       191.10,                  6615492.80,34263
,CPSEETF,EQ,        25.80,                 11901940.11,459387
,CREATIVEYE,EQ,         2.50,                       12.50,5
,CREDITACC,EQ,       355.30,                 13327332.05,37246
,CREST,EQ,       144.55,                   954142.20,6596
,CRISIL,EQ,      1495.30,                  6439216.80,4287
,CRMFGETF,EQ,      2975.00,                     2975.00,1
,CROMPTON,EQ,       206.65,                 61830082.95,298124
,CROWN,SM,        44.00,                   177000.00,4000
,CTE,EQ,        54.95,                  1255783.85,22933
,CUB,EQ,       164.15,                 78872800.85,478816
,CUBEXTUB,EQ,        13.80,                    15312.10,1181
,CUMMINSIND,EQ,       789.90,                513250584.85,642322
,CUPID,EQ,       161.80,                  2325811.95,14272
,CYBERMEDIA,EQ,         6.50,                        6.50,1
,CYBERTECH,EQ,        43.20,                   485597.65,10947
,CYIENT,EQ,       660.20,                179107220.65,273041
,DAAWAT,EQ,        44.40,                 17662374.60,394777
,DALMIABHA,EQ,      2123.05,                286907998.90,134387
,DALMIASUG,EQ,       105.10,                 59335695.25,556748
,DAMODARIND,EQ,        48.25,                   238704.40,4873
,DANGEE,SM,       213.70,                   341920.00,1600
,DATAMATICS,EQ,       111.00,                  6569801.15,58508
,DBCORP,EQ,       174.60,                  2847077.95,16327
,DBL,EQ,       468.50,               1076416569.10,2433521
,DBREALTY,EQ,        21.65,                 10423443.60,476139
,DBSTOCKBRO,EQ,         8.30,                     1029.40,125
,DCAL,EQ,       227.65,                 31543433.05,137694
,DCBBANK,EQ,       157.35,                210676055.25,1337611
,DCM,EQ,        76.45,                  1127924.65,14715
,DCMFINSERV,EQ,         1.80,                     1564.20,869
,DCMSHRIRAM,EQ,       417.70,                 35719599.50,85344
,DCW,EQ,        20.65,                  4467015.80,213972
,DECCANCE,EQ,       366.90,                  1372885.35,3678
