,13-Feb-2019
The Nifty witnessed an intraday movement of about 119.55 points.The closing index was 0.35 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29238.16
, Traded Quantity (in Lakhs), 15346.87
, Number of Trades, 11602901
, Total Market Capitalisation (Rs. Crores), 13710053.75

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BLBLIMITED,EQ,         5.20,                    84316.60,16822
,BLISSGVS,EQ,       149.95,                201545749.40,1346353
,BLKASHYAP,EQ,        17.85,                   643892.05,35826
,BLS,EQ,        97.15,                 14107780.75,143819
,BLUEBLENDS,EQ,         3.35,                     9341.00,2774
,BLUEDART,EQ,      3048.05,                  1919781.50,626
,BLUEDART,N3,        10.90,                   109087.20,10008
,BLUESTARCO,EQ,       589.50,                  7627990.15,13016
,BODALCHEM,EQ,        96.40,                  6842285.05,70442
,BOHRA,SM,        16.30,                   456400.00,28000
,BOMDYEING,EQ,       105.90,                 45712206.35,428149
,BOROSIL,EQ,       208.20,                  3296957.60,15751
,BPL,EQ,        23.85,                  2751163.50,112093
,BRFL,EQ,         6.45,                   354055.00,55254
,BRIGADE,EQ,       194.90,                 15248307.85,78361
,BRNL,EQ,        98.40,                   516892.75,5252
,BROOKS,EQ,        41.85,                   839536.00,19742
,BSE,EQ,       570.00,                 27823995.25,48745
,BSELINFRA,EQ,         1.75,                    88902.65,51387
,BSHSL,SM,       125.00,                   125000.00,1000
,BSL,EQ,        42.35,                   188788.20,4448
,BSLGOLDETF,EQ,      3056.00,                     6112.00,2
,BSLNIFTY,EQ,       112.50,                     8592.76,76
,BURNPUR,EQ,         2.25,                   223736.25,97627
,BUTTERFLY,EQ,       206.35,                  5990921.15,29118
,BVCL,BE,        15.00,                      742.50,52
,BYKE,EQ,        29.95,                  3093959.00,102865
,CADSYS,SM,        46.55,                   188100.00,4000
,CALSOFT,EQ,        17.30,                   213151.10,12791
,CAMLINFINE,EQ,        40.25,                  6295122.50,154904
,CANBK,EQ,       220.00,                796616839.80,3594910
,CANDC,EQ,        18.00,                  3416464.70,186344
,CANFINHOME,EQ,       255.70,                291727423.10,1120854
,CANTABIL,EQ,       186.20,                 35794955.05,199266
,CAPACITE,EQ,       191.45,                  5817027.65,29929
,CAPLIPOINT,EQ,       335.60,                  4651874.25,13775
,CAPTRUST,BE,       179.00,                    94940.25,533
,CARBORUNIV,EQ,       344.95,                  7164940.80,20936
,CAREERP,EQ,        66.65,                   268107.40,4010
,CARERATING,EQ,       955.95,                 28115415.85,29602
,CASTEXTECH,EQ,          .75,                    88683.90,115059
,CASTROLIND,EQ,       151.05,                217093179.75,1420037
,CCCL,EQ,         1.85,                    18040.95,9633
,CCHHL,EQ,         6.20,                   136590.75,21898
,CCL,EQ,       275.00,                  9625820.90,34859
,CDSL,EQ,       210.10,                 12851800.25,60965
,CEATLTD,EQ,      1059.55,                724175849.65,683369
,CEBBCO,BE,        20.65,                   787818.25,38617
,CELEBRITY,EQ,         8.10,                   219617.55,27059
