,07-Feb-2019
The Nifty witnessed an intraday movement of about 74.5 points.The closing index was 0.06 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 30954.86
, Traded Quantity (in Lakhs), 19264.8
, Number of Trades, 12212603
, Total Market Capitalisation (Rs. Crores), 14120324.72

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BVCL,BE,        15.35,                    35914.55,2471
,BYKE,EQ,        31.95,                  3168823.80,98500
,CALSOFT,EQ,        17.20,                   449279.75,26549
,CAMLINFINE,EQ,        45.70,                 10621004.20,224572
,CANBK,EQ,       237.05,               1160941586.70,4888921
,CANDC,EQ,        22.75,                   390600.85,17148
,CANFINHOME,EQ,       254.45,                376906663.60,1491642
,CANTABIL,EQ,       169.65,                 19422956.70,118703
,CAPACITE,EQ,       208.50,                  7317115.00,35031
,CAPLIPOINT,EQ,       362.30,                  8681992.20,24215
,CAPTRUST,BE,       183.00,                    88303.10,481
,CARBORUNIV,EQ,       350.50,                 19431284.60,55733
,CAREERP,EQ,        67.10,                   491102.85,7264
,CARERATING,EQ,       989.35,                 22866350.25,23162
,CASTEXTECH,EQ,          .75,                   515712.90,685422
,CASTROLIND,EQ,       152.35,                143694026.85,949318
,CCCL,EQ,         1.95,                   200465.45,109737
,CCHHL,EQ,         6.30,                   392110.20,63174
,CCL,EQ,       273.60,                 11537508.65,42401
,CDSL,EQ,       218.60,                 86489285.55,402235
,CEATLTD,EQ,      1131.15,                956439272.85,851096
,CEBBCO,BE,        18.45,                   262015.40,14192
,CELEBRITY,EQ,         8.55,                   141547.85,16620
,CELESTIAL,EQ,         5.70,                   128094.85,22445
,CENTENKA,EQ,       236.85,                  9044911.55,38133
,CENTEXT,EQ,         6.80,                  1266489.65,186255
,CENTRALBK,EQ,        29.65,                  7600604.10,255330
,CENTRUM,EQ,        31.10,                  5026412.90,161477
,CENTUM,EQ,       433.55,                  7457534.30,16760
,CENTURYPLY,EQ,       169.60,                 24325758.55,144819
,CENTURYTEX,EQ,       762.95,                495605806.95,647167
,CERA,EQ,      2353.15,                  6257765.10,2672
,CEREBRAINT,EQ,        28.05,                 17365774.55,627348
,CES1RPG,MF,         9.17,                   227886.00,25050
,CESC,EQ,       722.00,                524174934.50,725265
,CESCVENT,BE,       475.35,                 91200270.25,190195
,CGCL,EQ,       140.05,                 57391515.70,414367
,CGPOWER,EQ,        35.55,                387784128.10,11038340
,CHALET,EQ,       291.70,               2731179144.50,9442180
,CHAMBLFERT,EQ,       170.15,                 34898631.05,204856
,CHEMFAB,EQ,       135.55,                  1340115.05,9895
,CHENNPETRO,EQ,       232.40,                229028613.65,989723
,CHOLAFIN,EQ,      1251.55,                425357572.00,339258
,CHROMATIC,BE,          .95,                    31541.80,34661
,CIGNITITEC,EQ,       343.10,                  3912829.60,11584
,CIMMCO,EQ,        32.30,                   230469.05,7112
,CINELINE,EQ,        42.35,                   400275.10,9593
,CINEVISTA,EQ,         5.20,                    41380.60,8337
,CLEDUCATE,EQ,       126.80,                   337804.10,2698
,CLNINDIA,EQ,       377.05,                  1900326.45,5014
,CMICABLES,EQ,       123.35,                  2146053.10,17288
,CMMIPL,SM,         8.75,                    26250.00,3000
,CNOVAPETRO,EQ,        17.75,                    10620.95,601
