,25-Feb-2019
The Nifty witnessed an intraday movement of about 99.05 points.The closing index was 0.82 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 33085.71
, Traded Quantity (in Lakhs), 22069.73
, Number of Trades, 12052303
, Total Market Capitalisation (Rs. Crores), 13873617.24

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BODALCHEM,EQ,       101.95,                 17548314.85,173463
,BOHRA,SM,        16.15,                    32300.00,2000
,BOMDYEING,EQ,       113.85,                105382524.90,909533
,BOROSIL,EQ,       207.80,                  4058043.75,19381
,BPL,EQ,        28.15,                  3079270.70,108692
,BRFL,EQ,         9.25,                  1398389.50,153872
,BRIGADE,EQ,       200.15,                 45681443.95,224207
,BRNL,EQ,        97.40,                  6797091.75,69680
,BROOKS,EQ,        58.55,                 21388530.10,382883
,BSE,EQ,       576.30,                 57207328.90,99402
,BSELINFRA,EQ,         2.40,                   688632.35,291128
,BSHSL,SM,       129.00,                   129000.00,1000
,BSL,EQ,        41.30,                   538450.80,13021
,BSLGOLDETF,EQ,      3096.65,                    43590.95,14
,BSLNIFTY,EQ,       112.65,                    15487.76,137
,BURNPUR,EQ,         2.80,                   110980.10,39697
,BUTTERFLY,EQ,       197.15,                 25076704.05,126377
,BVCL,BE,        15.95,                     2106.20,132
,BYKE,EQ,        31.35,                  7187068.55,231289
,CALSOFT,EQ,        19.35,                   244439.20,12667
,CAMLINFINE,EQ,        44.25,                  4461635.00,100560
,CANBK,EQ,       222.80,                516031316.60,2318426
,CANDC,EQ,        13.35,                  2299151.05,173112
,CANFINHOME,EQ,       267.95,                502830771.45,1854471
,CANTABIL,EQ,       234.20,                 19561142.50,86431
,CAPACITE,EQ,       205.85,                  5320738.90,25783
,CAPLIPOINT,EQ,       388.75,                130447436.00,329460
,CAPTRUST,BE,       186.25,                   116386.65,633
,CARBORUNIV,EQ,       345.65,                  4050860.85,11693
,CAREERP,EQ,        68.65,                  2074472.35,30499
,CARERATING,EQ,       959.95,                 48212140.70,50241
,CASTEXTECH,EQ,         1.00,                   350117.75,350172
,CASTROLIND,EQ,       152.65,                159443872.05,1032035
,CCCL,EQ,         1.85,                   115926.90,63188
,CCHHL,EQ,         6.25,                   103858.20,16472
,CCL,EQ,       282.45,                  5733261.90,20358
,CDSL,EQ,       218.30,                149817188.60,675142
,CEATLTD,EQ,      1078.30,                437076965.05,407112
,CEBBCO,BE,        20.05,                   270013.30,13303
,CELEBRITY,EQ,         8.70,                    69633.30,8229
,CELESTIAL,EQ,         4.85,                    14569.40,3004
,CENTENKA,EQ,       243.25,                  7996226.20,32568
,CENTEXT,EQ,         6.15,                   516790.80,84493
,CENTRALBK,EQ,        31.65,                  9680775.85,305042
,CENTRUM,EQ,        32.90,                  1140604.45,34715
,CENTUM,EQ,       395.00,                   715308.35,1814
,CENTURYPLY,EQ,       165.80,                 18446414.40,111887
,CENTURYTEX,EQ,       794.10,                353161129.55,446984
,CERA,EQ,      2316.50,                116076125.80,50553
,CEREBRAINT,EQ,        26.05,                  6417304.90,246433
,CES1RPG,MF,         9.15,                   395919.40,43480
,CESC,EQ,       675.45,                157916251.10,234902
,CESCVENT,EQ,       455.70,                121687451.90,276781
,CGCL,EQ,       133.65,                 88848765.95,665522
,CGPOWER,EQ,        31.50,                272750148.25,8723031
,CHALET,EQ,       284.75,                 46950845.55,164694
,CHAMBLFERT,EQ,       159.35,                 89824447.80,562874
,CHEMFAB,EQ,       134.05,                   164359.00,1227
,CHENNPETRO,EQ,       219.75,                170435503.05,777574
,CHOLAFIN,EQ,      1196.60,                315182558.40,262878
,CHROMATIC,BE,          .95,                    21286.70,21372
