,28-Feb-2019
The Nifty witnessed an intraday movement of about 80.85 points.The closing index was 0.13 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 42785.02
, Traded Quantity (in Lakhs), 19875.2
, Number of Trades, 12033081
, Total Market Capitalisation (Rs. Crores), 13871449.35

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CIMMCO,EQ,        32.35,                   297906.10,9263
,CINELINE,EQ,        43.65,                   127604.35,2953
,CINEVISTA,EQ,         5.90,                    24835.40,4226
,CLEDUCATE,EQ,       119.75,                    77859.65,652
,CLNINDIA,EQ,       352.45,                  3444439.30,9900
,CMICABLES,EQ,       127.60,                  2411599.35,18867
,CMMIPL,SM,         6.50,                   117000.00,18000
,CNOVAPETRO,EQ,        17.90,                     7093.70,392
,COCHINSHIP,EQ,       348.95,                 17056186.45,49148
,COFFEEDAY,EQ,       270.20,                 17450058.65,64213
,COMPINFO,EQ,        15.80,                   898895.70,56579
,COMPUSOFT,EQ,         9.40,                    41649.95,4434
,CONSOFINVT,EQ,        38.00,                   100991.70,2562
,CONTROLPR,EQ,       261.10,                  1339875.80,5050
,CORALFINAC,EQ,        14.90,                    48899.15,3282
,CORDSCABLE,EQ,        56.40,                  1157252.75,20306
,COROMANDEL,EQ,       441.85,                 45200199.10,102497
,CORPBANK,EQ,        30.35,                 16708483.55,547568
,COSMOFILMS,EQ,       188.95,                  3004185.50,15967
,COUNCODOS,EQ,         2.45,                   626970.05,269445
,COX&KINGS,EQ,       145.15,                  3707064.30,25528
,CPSEETF,EQ,        24.56,                199865473.98,8200269
,CREATIVE,SM,       110.00,                   540800.00,4800
,CREATIVEYE,EQ,         2.75,                     3025.00,1100
,CREDITACC,EQ,       416.55,                 22486835.20,54081
,CREST,EQ,       125.30,                    73937.30,587
,CRISIL,EQ,      1458.00,                 28672462.15,19412
,CROMPTON,EQ,       210.00,                205408717.40,977334
,CTE,EQ,        43.30,                    83863.15,1929
,CUB,EQ,       183.45,                219406063.60,1216311
,CUBEXTUB,EQ,        14.00,                    25675.90,1831
,CUMMINSIND,EQ,       699.80,                673493484.35,960158
,CUPID,EQ,       118.85,                   851642.75,7141
,CYBERTECH,EQ,        39.90,                    98914.00,2487
,CYIENT,EQ,       642.20,                139811711.50,217536
,DAAWAT,EQ,        32.50,                 11885207.30,364481
,DALBHARAT,EQ,      1153.20,               1506394350.50,1285790
,DALMIASUG,EQ,       122.40,                188391407.05,1558801
,DAMODARIND,EQ,        40.80,                    70011.00,1743
,DANGEE,SM,       180.00,                   868800.00,4800
,DATAMATICS,EQ,        88.25,                  2515514.00,28371
,DBCORP,EQ,       178.15,                  6241247.40,34828
,DBL,EQ,       430.00,                 85289967.85,198312
,DBREALTY,BE,        20.40,                  1955298.90,96260
,DCAL,EQ,       186.30,                 14895657.05,79742
,DCBBANK,EQ,       181.75,                380826403.65,2094452
,DCM,EQ,        64.30,                   532117.05,8268
