,09-Jan-2019
The Nifty witnessed an intraday movement of about 121 points.The closing index was 0.49 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29799.93
, Traded Quantity (in Lakhs), 12675.58
, Number of Trades, 10916246
, Total Market Capitalisation (Rs. Crores), 14159596.56

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CANDC,EQ,        28.70,                   803471.15,27767
,CANFINHOME,EQ,       273.75,                302836037.85,1092119
,CANTABIL,EQ,       126.50,                  4145138.75,32535
,CAPACITE,EQ,       250.55,                  4579844.95,18323
,CAPLIPOINT,EQ,       384.05,                  4876299.75,12712
,CAPTRUST,BE,       201.20,                   468057.85,2362
,CARBORUNIV,EQ,       365.65,                 21234537.35,57844
,CAREERP,EQ,        76.15,                   219542.45,2858
,CARERATING,EQ,       984.75,                 18569315.55,18857
,CASTEXTECH,EQ,         1.25,                   132692.00,108319
,CASTROLIND,EQ,       151.20,                101700249.35,672625
,CCCL,EQ,         2.30,                    60899.85,26162
,CCHHL,EQ,         7.45,                   218423.85,29170
,CCL,EQ,       269.25,                  3810910.70,14155
,CDSL,EQ,       231.05,                 40014327.40,173318
,CEATLTD,EQ,      1259.45,                559325818.30,442869
,CEBBCO,BE,        26.90,                  1357201.60,50201
,CELEBRITY,EQ,         9.45,                   216599.05,23016
,CELESTIAL,EQ,         8.35,                    99887.70,11881
,CENTENKA,EQ,       261.90,                  4225310.30,16169
,CENTEXT,EQ,         7.30,                   899984.05,121935
,CENTRALBK,EQ,        36.80,                101238880.60,2758280
,CENTRUM,EQ,        35.25,                  2446911.95,68534
,CENTUM,EQ,       368.20,                 22221985.40,61737
,CENTURYPLY,EQ,       175.10,                190374040.75,1087901
,CENTURYTEX,EQ,       896.65,                320091125.00,355954
,CERA,EQ,      2625.55,                 10473641.05,3952
,CEREBRAINT,EQ,        28.60,                 29346657.65,1006551
,CES1RPG,MF,         9.18,                   172319.00,18900
,CESC,EQ,       653.95,                336674225.25,512771
,CGCL,EQ,       134.20,                 64553427.80,483956
,CGPOWER,EQ,        45.20,                269090740.10,5898867
,CHAMBLFERT,EQ,       158.30,                 27806715.10,175934
,CHEMFAB,EQ,       149.40,                  1736573.90,11449
,CHENNPETRO,EQ,       269.90,                231438841.85,851526
,CHOLAFIN,EQ,      1198.95,                537023134.80,445882
,CHROMATIC,EQ,         1.25,                     7323.75,5859
,CIGNITITEC,EQ,       367.45,                  3128568.60,8506
,CIMMCO,EQ,        38.80,                  1155610.70,29361
,CINELINE,EQ,        47.25,                   775831.95,16321
,CINEVISTA,EQ,         6.30,                     1891.95,303
,CLEDUCATE,EQ,       113.00,                   747621.35,6580
,CLNINDIA,EQ,       406.05,                  1586178.55,3896
,CMICABLES,EQ,       153.50,                  5756820.65,37391
,CMMIPL,SM,         9.85,                    59100.00,6000
,CNOVAPETRO,EQ,        22.00,                    19957.50,904
,COCHINSHIP,EQ,       368.35,                 29566446.90,80504
,COFFEEDAY,EQ,       267.50,                 13027501.55,48461
,COMPINFO,EQ,        21.95,                   177638.30,8099
,COMPUSOFT,EQ,        11.00,                    63973.40,5792
,CONSOFINVT,EQ,        48.65,                   664811.05,13664
,CONTROLPR,EQ,       301.15,                   544911.80,1795
,CORALFINAC,EQ,        14.85,                    87203.25,5852
,CORDSCABLE,EQ,        63.25,                   314831.50,4967
,COROMANDEL,EQ,       455.60,                 26844179.25,58964
,CORPBANK,EQ,        29.05,                  9499922.30,323572
,COSMOFILMS,EQ,       211.90,                  2749958.15,12871
,COUNCODOS,EQ,         2.35,                   209838.05,88899
,COX&KINGS,EQ,       170.40,                  4868218.90,28570
,CPSEETF,EQ,        23.93,                 88054350.28,3663886
,CREATIVE,SM,       112.50,                   546400.00,4800
,CREATIVEYE,EQ,         2.80,                     1400.00,500
,CREDITACC,EQ,       391.90,                 22259104.75,56923
,CREST,EQ,       141.70,                   799964.05,5659
,CRISIL,EQ,      1637.65,                  3449446.40,2107
,CRMFGETF,EQ,      2990.00,                     2990.00,1
,CROMPTON,EQ,       229.05,                 34103186.60,148703
,CTE,EQ,        45.85,                   641454.80,13749
,CUB,EQ,       191.95,                203469552.90,1059701
,CUBEXTUB,EQ,        15.05,                     7100.60,462
,CUMMINSIND,EQ,       860.50,                547721418.80,637886
,CUPID,EQ,       154.40,                  2362190.30,15156
,CURATECH,BE,         1.05,                      107.10,102
,CYBERMEDIA,EQ,         8.70,                      436.25,50
,CYBERTECH,EQ,        42.85,                    17804.00,420
,CYIENT,EQ,       603.90,                 23848521.05,39345
,DAAWAT,EQ,        40.85,                 21396689.60,519803
,DALMIASUG,EQ,        97.35,                 16764188.90,170488
,DAMODARIND,EQ,        44.60,                    57217.25,1275
,DANGEE,SM,       201.00,                   321600.00,1600
,DATAMATICS,EQ,       111.35,                  4286587.40,38604
,DBCORP,EQ,       182.30,                306630715.90,1673603
,DBL,EQ,       390.80,                291110021.15,741005
,DBREALTY,BE,        30.10,                  7673312.60,254297
,DCAL,EQ,       241.40,                 17554498.70,73191
