,21-Aug-2018
The Nifty witnessed an intraday movement of about 42.15 points.The closing index was 0.17 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 33006.87
, Traded Quantity (in Lakhs), 15501.98
, Number of Trades, 11419479
, Total Market Capitalisation (Rs. Crores), 15490887.72

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BKMINDST,EQ,        17.15,                    68515.75,3963
,BLBLIMITED,EQ,         4.75,                   343508.90,69978
,BLISSGVS,EQ,       192.85,                 25235785.30,132341
,BLKASHYAP,EQ,        33.10,                  3448731.15,103790
,BLS,EQ,       168.50,                 10132736.55,60442
,BLUEBLENDS,EQ,         6.85,                    75039.85,11046
,BLUECHIP,BE,          .20,                      400.00,2000
,BLUEDART,EQ,      3583.85,                  2824787.10,788
,BLUESTARCO,EQ,       684.30,                 11343766.20,16476
,BODALCHEM,EQ,       122.35,                 17130190.00,140261
,BOMDYEING,BE,       259.85,                 69826497.40,268965
,BOROSIL,EQ,       296.70,                 50307649.35,168790
,BPL,EQ,        52.10,                  9744315.10,185192
,BRFL,BE,        17.95,                  2073654.30,114505
,BRIGADE,EQ,       195.30,                 17906935.65,91914
,BRIGHT,SM,        45.25,                  1224600.00,27000
,BRNL,EQ,       158.75,                   770432.00,4844
,BROOKS,EQ,        78.35,                  4177442.60,52828
,BSE,EQ,       743.45,                 72262861.05,97122
,BSELINFRA,EQ,         3.55,                   979693.65,284057
,BSHSL,SM,       132.00,                  3656550.00,28000
,BSL,EQ,        55.65,                   545021.15,9690
,BSLGOLDETF,EQ,      2741.00,                    24800.95,9
,BSLNIFTY,EQ,       115.90,                    19321.56,169
,BURNPUR,BE,         5.95,                   448691.75,75553
,BUTTERFLY,EQ,       308.35,                  2088407.65,6721
,BVCL,BE,        18.55,                    31827.20,1742
,BYKE,EQ,       102.35,                  7371339.55,71225
,CADSYS,SM,        60.50,                   121000.00,2000
,CALSOFT,BE,        43.25,                   651383.50,14998
,CAMLINFINE,EQ,        79.85,                 37332635.15,461988
,CANBK,EQ,       284.35,               1573012824.55,5516956
,CANDC,EQ,        33.10,                  4613354.70,138863
,CANFINHOME,EQ,       339.60,                860512063.70,2541789
,CANTABIL,EQ,       127.90,                  3224391.85,25443
,CAPACITE,EQ,       269.55,                 13965417.75,51800
,CAPF,EQ,       630.35,                463767651.65,733775
,CAPLIPOINT,EQ,       402.00,                 17173777.20,42751
,CAPTRUST,EQ,       389.00,                   973825.95,2501
,CARBORUNIV,EQ,       369.60,                 40382465.60,109456
,CAREERP,EQ,        91.55,                  2092141.20,22811
